customer_id,card_id
C01403,C01403-K1
C01408,C01408-K1
C01413,C01413-K1
C01424,C01424-K1
C01426,C01426-K1
C01434,C01434-K1
C01435,C01435-K1
C01439,C01439-K1
C01459,C01459-K1
C01471,C01471-K1
C01482,C01482-K1
C01486,C01486-K1
C01489,C01489-K1
C01494,C01494-K1
C01500,C01500-K1
C01513,C01513-K1
C01521,C01521-K2
C01525,C01525-K1
C01525,C01525-K2
C01529,C01529-K1
C01534,C01534-K1
C01542,C01542-K1
C01562,C01562-K1
C01563,C01563-K1
C01569,C01569-K1
C01578,C01578-K1
C01579,C01579-K1
C01596,C01596-K2
C01599,C01599-K1
C01614,C01614-K1
C01618,C01618-K2
C01627,C01627-K1
C01638,C01638-K1
C01654,C01654-K1
C01656,C01656-K1
C01672,C01672-K1
C01685,C01685-K1
C01688,C01688-K1
C01719,C01719-K1
C01721,C01721-K2
C01727,C01727-K2
C01730,C01730-K1
C01744,C01744-K2
C01755,C01755-K2
C01765,C01765-K1
C01782,C01782-K2
C01784,C01784-K1
C01797,C01797-K1
C01799,C01799-K2
C01801,C01801-K1
C01810,C01810-K1
C01812,C01812-K1
C01823,C01823-K1
C01828,C01828-K2
C01846,C01846-K1
C01855,C01855-K2
C01856,C01856-K1
C01864,C01864-K1
C01875,C01875-K1
C01881,C01881-K1
C01887,C01887-K1
C01890,C01890-K1
C01909,C01909-K2
C01910,C01910-K1
C01922,C01922-K2
C01924,C01924-K1
C01933,C01933-K2
C01934,C01934-K1
C01935,C01935-K1
C01953,C01953-K2
C01954,C01954-K1
C01961,C01961-K1
C01966,C01966-K1
C01977,C01977-K1
C01981,C01981-K1
C01982,C01982-K2
C01983,C01983-K1
C01984,C01984-K1
C01987,C01987-K1
C01996,C01996-K2
C02000,C02000-K1
C02000,C02000-K2
C02008,C02008-K1
C02018,C02018-K2
C02023,C02023-K1
C02031,C02031-K1
C02035,C02035-K1
C02055,C02055-K1
C02063,C02063-K1
C02065,C02065-K1
C02079,C02079-K1
C02082,C02082-K1
C02084,C02084-K2
C02089,C02089-K1
C02094,C02094-K1
C02111,C02111-K1
C02116,C02116-K1
C02121,C02121-K1
C02131,C02131-K1
C02136,C02136-K1
C02139,C02139-K1
C02147,C02147-K2
C02170,C02170-K1
C02171,C02171-K1
C02177,C02177-K1
C02180,C02180-K1
C02181,C02181-K2
C02182,C02182-K1
C02188,C02188-K1
C02193,C02193-K1
C02195,C02195-K1
C02205,C02205-K1
C02214,C02214-K2
C02222,C02222-K1
C02226,C02226-K1
C02231,C02231-K1
C02231,C02231-K2
C02245,C02245-K2
C02250,C02250-K2
C02263,C02263-K1
C02266,C02266-K1
C02266,C02266-K2
C02279,C02279-K1
C02284,C02284-K1
C02285,C02285-K2
C02309,C02309-K2
C02320,C02320-K2
C02321,C02321-K2
C02326,C02326-K1
C02330,C02330-K1
C02332,C02332-K1
C02334,C02334-K1
C02341,C02341-K1
C02342,C02342-K1
C02354,C02354-K2
C02371,C02371-K2
C02377,C02377-K1
C02387,C02387-K1
C02393,C02393-K2
C02404,C02404-K1
C02436,C02436-K1
C02444,C02444-K1
C02445,C02445-K1
C02456,C02456-K1
C02458,C02458-K1
C02466,C02466-K1
C02472,C02472-K1
C02475,C02475-K1
C02477,C02477-K1
C02480,C02480-K1
C02487,C02487-K1
C02502,C02502-K2
C02513,C02513-K1
C02515,C02515-K2
C02536,C02536-K1
C02545,C02545-K2
C02554,C02554-K1
C02559,C02559-K1
C02566,C02566-K1
C02573,C02573-K2
C02575,C02575-K1
C02575,C02575-K2
C02589,C02589-K1
C02592,C02592-K1
C02609,C02609-K1
C02618,C02618-K2
C02627,C02627-K1
C02639,C02639-K1
C02646,C02646-K1
C02653,C02653-K1
C02656,C02656-K1
C02667,C02667-K1
C02686,C02686-K1
C02695,C02695-K1
C02702,C02702-K2
C02705,C02705-K1
C02708,C02708-K1
C02715,C02715-K1
C02716,C02716-K1
C02716,C02716-K2
C02717,C02717-K1
C02740,C02740-K1
C02745,C02745-K1
C02749,C02749-K1
C02753,C02753-K1
C02756,C02756-K1
C02776,C02776-K1
C02780,C02780-K2
C02782,C02782-K2
C02796,C02796-K1
C02800,C02800-K1
C02804,C02804-K1
C02809,C02809-K2
C02810,C02810-K1
C02814,C02814-K1
C02838,C02838-K1
C02842,C02842-K1
C02851,C02851-K2
C02854,C02854-K1
C02882,C02882-K1
C02883,C02883-K2
C02891,C02891-K1
C02897,C02897-K1
C02902,C02902-K2
C02910,C02910-K1
C02914,C02914-K2
C02921,C02921-K1
C02923,C02923-K1
C02945,C02945-K1
C02949,C02949-K1
C02955,C02955-K1
C02963,C02963-K1
C02968,C02968-K1
C02971,C02971-K1
C02975,C02975-K1
C02999,C02999-K2
C03019,C03019-K2
C03040,C03040-K2
C03042,C03042-K1
C03043,C03043-K1
C03047,C03047-K2
C03050,C03050-K1
C03060,C03060-K1
C03066,C03066-K1
C03070,C03070-K1
C03080,C03080-K2
C03095,C03095-K2
C03096,C03096-K1
C03108,C03108-K1
C03125,C03125-K2
C03133,C03133-K1
C03136,C03136-K1
C03140,C03140-K1
C03146,C03146-K1
C03151,C03151-K2
C03168,C03168-K1
C03181,C03181-K1
C03184,C03184-K1
C03197,C03197-K1
C03200,C03200-K1
C03213,C03213-K1
C03218,C03218-K2
C03231,C03231-K2
C03234,C03234-K1
C03237,C03237-K1
C03246,C03246-K1
C03252,C03252-K1
C03256,C03256-K1
C03263,C03263-K1
C03264,C03264-K1
C03271,C03271-K1
C03273,C03273-K1
C03277,C03277-K1
C03278,C03278-K2
C03285,C03285-K2
C03288,C03288-K1
C03295,C03295-K2
C03299,C03299-K2
C03303,C03303-K1
C03318,C03318-K1
C03341,C03341-K2
C03345,C03345-K2
C03348,C03348-K1
C03351,C03351-K2
C03360,C03360-K1
C03363,C03363-K2
C03381,C03381-K1
C03385,C03385-K1
C03394,C03394-K2
C03397,C03397-K1
C03399,C03399-K1
C03405,C03405-K2
C03409,C03409-K1
C03411,C03411-K2
C03412,C03412-K1
C03418,C03418-K1
C03422,C03422-K1
C03427,C03427-K2
C03433,C03433-K1
C03437,C03437-K1
C03449,C03449-K1
C03465,C03465-K1
C03467,C03467-K1
C03470,C03470-K1
C03474,C03474-K1
C03485,C03485-K1
C03488,C03488-K2
C03504,C03504-K1
C03517,C03517-K1
C03527,C03527-K1
C03528,C03528-K1
C03539,C03539-K1
C03542,C03542-K1
C03545,C03545-K1
C03549,C03549-K1
C03550,C03550-K1
C03551,C03551-K2
C03558,C03558-K1
C03561,C03561-K1
C03564,C03564-K1
C03571,C03571-K1
C03575,C03575-K2
C03598,C03598-K2
C03613,C03613-K1
C03630,C03630-K1
C03637,C03637-K1
C03645,C03645-K1
C03647,C03647-K1
C03650,C03650-K1
C03651,C03651-K2
C03656,C03656-K2
C03657,C03657-K1
C03667,C03667-K1
C03676,C03676-K2
C03684,C03684-K1
C03685,C03685-K2
C03696,C03696-K1
C03699,C03699-K1
C03702,C03702-K1
C03707,C03707-K1
C03708,C03708-K2
C03714,C03714-K1
C03727,C03727-K1
C03738,C03738-K2
C03744,C03744-K1
C03750,C03750-K1
C03770,C03770-K1
C03773,C03773-K1
C03773,C03773-K2
C03777,C03777-K1
C03778,C03778-K1
C03779,C03779-K1
C03786,C03786-K1
C03787,C03787-K1
C03824,C03824-K1
C03829,C03829-K1
C03831,C03831-K1
C03839,C03839-K1
C03843,C03843-K1
C03851,C03851-K2
C03856,C03856-K1
C03864,C03864-K1
C03871,C03871-K1
C03872,C03872-K1
C03880,C03880-K1
C03898,C03898-K1
C03904,C03904-K1
C03906,C03906-K1
C03925,C03925-K1
C03933,C03933-K1
C03950,C03950-K1
C03967,C03967-K1
C03971,C03971-K1
C03975,C03975-K1
C03992,C03992-K2
C03999,C03999-K1
C04004,C04004-K1
C04010,C04010-K1
C04022,C04022-K1
C04024,C04024-K2
C04034,C04034-K2
C04037,C04037-K1
C04046,C04046-K2
C04061,C04061-K1
C04068,C04068-K1
C04072,C04072-K2
C04077,C04077-K1
C04096,C04096-K2
C04105,C04105-K2
C04108,C04108-K2
C04110,C04110-K1
C04117,C04117-K2
C04118,C04118-K2
C04125,C04125-K1
C04125,C04125-K2
C04132,C04132-K1
C04134,C04134-K1
C04146,C04146-K1
C04150,C04150-K1
C04157,C04157-K1
C04170,C04170-K1
C04172,C04172-K1
C04172,C04172-K2
C04185,C04185-K2
C04196,C04196-K2
C04201,C04201-K1
C04210,C04210-K1
C04230,C04230-K1
C04248,C04248-K2
C04257,C04257-K1
C04258,C04258-K1
C04261,C04261-K1
C04265,C04265-K1
C04267,C04267-K1
C04269,C04269-K1
C04277,C04277-K1
C04280,C04280-K1
C04282,C04282-K1
C04285,C04285-K1
C04294,C04294-K1
C04299,C04299-K1
C04306,C04306-K1
C04307,C04307-K1
C04311,C04311-K1
C04313,C04313-K1
C04332,C04332-K1
C04346,C04346-K2
C04348,C04348-K1
C04350,C04350-K1
C04352,C04352-K1
C04361,C04361-K1
C04361,C04361-K2
C04386,C04386-K1
C04393,C04393-K1
C04398,C04398-K1
C04424,C04424-K1
C04434,C04434-K1
C04435,C04435-K1
C04437,C04437-K1
C04446,C04446-K1
C04450,C04450-K1
C04488,C04488-K1
C04505,C04505-K1
C04533,C04533-K1
C04537,C04537-K1
C04542,C04542-K1
C04549,C04549-K1
C04551,C04551-K1
C04556,C04556-K1
C04565,C04565-K1
C04570,C04570-K1
C04571,C04571-K2
C04587,C04587-K1
C04588,C04588-K1
C04597,C04597-K1
C04597,C04597-K2
C04601,C04601-K2
C04618,C04618-K1
C04641,C04641-K1
C04644,C04644-K1
C04650,C04650-K1
C04655,C04655-K1
C04665,C04665-K1
C04679,C04679-K1
C04709,C04709-K2
C04710,C04710-K1
C04715,C04715-K1
C04726,C04726-K1
C04727,C04727-K2
C04729,C04729-K1
C04741,C04741-K1
C04742,C04742-K1
C04743,C04743-K1
C04744,C04744-K1
C04754,C04754-K1
C04759,C04759-K1
C04762,C04762-K1
C04775,C04775-K1
C04776,C04776-K1
C04778,C04778-K1
C04798,C04798-K2
C04803,C04803-K1
C04812,C04812-K1
C04828,C04828-K2
C04834,C04834-K1
C04840,C04840-K1
C04844,C04844-K1
C04848,C04848-K1
C04849,C04849-K1
C04860,C04860-K1
C04861,C04861-K2
C04863,C04863-K1
C04865,C04865-K1
C04870,C04870-K1
C04873,C04873-K1
C04881,C04881-K1
C04889,C04889-K1
C04893,C04893-K1
C04903,C04903-K1
C04921,C04921-K2
C04928,C04928-K1
C04933,C04933-K1
C04938,C04938-K1
C04942,C04942-K1
C04962,C04962-K2
C04965,C04965-K2
C04968,C04968-K1
C04984,C04984-K2
C05008,C05008-K1
C05011,C05011-K1
C05029,C05029-K1
C05031,C05031-K2
C05039,C05039-K1
C05061,C05061-K1
C05062,C05062-K2
C05081,C05081-K1
C05097,C05097-K2
C05106,C05106-K1
C05115,C05115-K2
C05116,C05116-K1
C05125,C05125-K1
C05127,C05127-K1
C05128,C05128-K1
C05140,C05140-K1
C05141,C05141-K1
C05142,C05142-K1
C05153,C05153-K1
C05155,C05155-K1
C05174,C05174-K1
C05175,C05175-K1
C05192,C05192-K2
C05203,C05203-K1
C05212,C05212-K2
C05215,C05215-K1
C05230,C05230-K1
C05231,C05231-K1
C05234,C05234-K1
C05240,C05240-K1
C05243,C05243-K1
C05245,C05245-K2
C05248,C05248-K1
C05263,C05263-K2
C05268,C05268-K1
C05276,C05276-K2
C05289,C05289-K2
C05290,C05290-K2
C05292,C05292-K1
C05294,C05294-K1
C05302,C05302-K1
C05303,C05303-K1
C05307,C05307-K2
C05309,C05309-K1
C05312,C05312-K1
C05314,C05314-K1
C05320,C05320-K1
C05330,C05330-K1
C05330,C05330-K2
C05359,C05359-K1
C05362,C05362-K1
C05369,C05369-K1
C05378,C05378-K2
C05381,C05381-K2
C05382,C05382-K1
C05383,C05383-K1
C05385,C05385-K2
C05390,C05390-K1
C05398,C05398-K1
C05410,C05410-K1
C05411,C05411-K1
C05423,C05423-K1
C05426,C05426-K1
C05445,C05445-K1
C05454,C05454-K1
C05467,C05467-K1
C05470,C05470-K1
C05472,C05472-K1
C05479,C05479-K1
C05484,C05484-K1
C05485,C05485-K1
C05487,C05487-K1
C05490,C05490-K1
C05504,C05504-K1
C05509,C05509-K1
C05519,C05519-K2
C05530,C05530-K2
C05533,C05533-K1
C05551,C05551-K2
C05554,C05554-K1
C05559,C05559-K1
C05560,C05560-K2
C05566,C05566-K1
C05572,C05572-K1
C05585,C05585-K1
C05595,C05595-K1
C05600,C05600-K1
C05610,C05610-K1
C05611,C05611-K1
C05625,C05625-K2
C05636,C05636-K2
C05654,C05654-K1
C05664,C05664-K1
C05670,C05670-K1
C05678,C05678-K1
C05684,C05684-K1
C05686,C05686-K1
C05689,C05689-K2
C05690,C05690-K1
C05704,C05704-K2
C05705,C05705-K1
C05712,C05712-K1
C05731,C05731-K1
C05736,C05736-K1
C05739,C05739-K2
C05747,C05747-K1
C05753,C05753-K1
C05766,C05766-K1
C05770,C05770-K1
C05772,C05772-K1
C05786,C05786-K2
C05791,C05791-K2
C05793,C05793-K1
C05797,C05797-K1
C05807,C05807-K1
C05826,C05826-K1
C05853,C05853-K1
C05868,C05868-K1
C05871,C05871-K1
C05876,C05876-K2
C05902,C05902-K1
C05903,C05903-K1
C05906,C05906-K1
C05916,C05916-K1
C05942,C05942-K1
C05957,C05957-K2
C05958,C05958-K1
C05961,C05961-K1
C05967,C05967-K1
C05976,C05976-K1
C05977,C05977-K1
C05985,C05985-K2
C05986,C05986-K2
C05992,C05992-K1
C05996,C05996-K1
C06001,C06001-K1
C06005,C06005-K1
C06006,C06006-K1
C06024,C06024-K1
C06026,C06026-K2
C06031,C06031-K2
C06036,C06036-K1
C06050,C06050-K1
C06059,C06059-K2
C06063,C06063-K1
C06067,C06067-K2
C06075,C06075-K1
C06079,C06079-K1
C06084,C06084-K2
C06096,C06096-K1
C06108,C06108-K1
C06117,C06117-K1
C06121,C06121-K2
C06130,C06130-K1
C06134,C06134-K1
C06147,C06147-K2
C06166,C06166-K1
C06167,C06167-K1
C06168,C06168-K1
C06175,C06175-K1
C06185,C06185-K1
C06190,C06190-K1
C06197,C06197-K2
C06208,C06208-K1
C06210,C06210-K1
C06215,C06215-K1
C06220,C06220-K1
C06224,C06224-K2
C06228,C06228-K1
C06240,C06240-K1
C06247,C06247-K1
C06257,C06257-K1
C06265,C06265-K1
C06269,C06269-K1
C06279,C06279-K1
C06299,C06299-K1
C06303,C06303-K1
C06313,C06313-K1
C06320,C06320-K1
C06324,C06324-K1
C06331,C06331-K2
C06339,C06339-K1
C06341,C06341-K1
C06343,C06343-K1
C06348,C06348-K1
C06362,C06362-K1
C06373,C06373-K1
C06379,C06379-K1
C06403,C06403-K2
C06420,C06420-K1
C06426,C06426-K1
C06428,C06428-K1
C06437,C06437-K1
C06438,C06438-K1
C06443,C06443-K1
C06464,C06464-K1
C06469,C06469-K1
C06494,C06494-K2
C06511,C06511-K1
C06514,C06514-K1
C06515,C06515-K1
C06532,C06532-K2
C06541,C06541-K1
C06549,C06549-K1
C06578,C06578-K1
C06582,C06582-K2
C06588,C06588-K1
C06598,C06598-K1
C06605,C06605-K1
C06606,C06606-K1
C06617,C06617-K1
C06630,C06630-K2
C06650,C06650-K2
C06655,C06655-K1
C06657,C06657-K1
C06658,C06658-K1
C06660,C06660-K1
C06663,C06663-K2
C06669,C06669-K1
C06677,C06677-K1
C06682,C06682-K1
C06694,C06694-K1
C06706,C06706-K1
C06707,C06707-K1
C06708,C06708-K2
C06728,C06728-K1
C06740,C06740-K1
C06742,C06742-K1
C06744,C06744-K2
C06750,C06750-K1
C06764,C06764-K2
C06768,C06768-K1
C06779,C06779-K1
C06788,C06788-K1
C06795,C06795-K1
C06797,C06797-K1
C06800,C06800-K1
C06811,C06811-K1
C06818,C06818-K1
C06821,C06821-K1
C06835,C06835-K2
C06836,C06836-K1
C06837,C06837-K1
C06840,C06840-K1
C06851,C06851-K1
C06855,C06855-K1
C06872,C06872-K1
C06886,C06886-K1
C06897,C06897-K1
C06898,C06898-K1
C06899,C06899-K1
C06903,C06903-K1
C06906,C06906-K1
C06929,C06929-K1
C06940,C06940-K1
C06942,C06942-K2
C06947,C06947-K2
C06948,C06948-K1
C06950,C06950-K1
C06954,C06954-K1
C06956,C06956-K1
C06962,C06962-K2
C06979,C06979-K1
C06986,C06986-K1
C06988,C06988-K1
C06991,C06991-K1
C06996,C06996-K1
C07006,C07006-K1
C07027,C07027-K1
C07033,C07033-K1
C07035,C07035-K1
C07044,C07044-K1
C07050,C07050-K1
C07053,C07053-K1
C07073,C07073-K1
C07076,C07076-K1
C07086,C07086-K1
C07096,C07096-K2
C07102,C07102-K1
C07118,C07118-K1
C07119,C07119-K1
C07130,C07130-K1
C07134,C07134-K2
C07149,C07149-K2
C07162,C07162-K1
C07164,C07164-K1
C07171,C07171-K2
C07180,C07180-K1
C07185,C07185-K2
C07194,C07194-K1
C07196,C07196-K2
C07204,C07204-K1
C07210,C07210-K1
C07212,C07212-K1
C07212,C07212-K2
C07215,C07215-K1
C07220,C07220-K1
C07221,C07221-K1
C07223,C07223-K1
C07227,C07227-K2
C07241,C07241-K1
C07247,C07247-K1
C07253,C07253-K1
C07256,C07256-K2
C07265,C07265-K1
C07267,C07267-K1
C07270,C07270-K1
C07293,C07293-K1
C07295,C07295-K1
C07297,C07297-K1
C07311,C07311-K1
C07336,C07336-K1
C07338,C07338-K1
C07341,C07341-K1
C07347,C07347-K1
C07354,C07354-K2
C07356,C07356-K1
C07360,C07360-K1
C07367,C07367-K1
C07390,C07390-K1
C07391,C07391-K1
C07394,C07394-K1
C07400,C07400-K2
C07434,C07434-K1
C07437,C07437-K1
C07448,C07448-K1
C07452,C07452-K1
C07466,C07466-K2
C07469,C07469-K1
C07470,C07470-K1
C07480,C07480-K1
C07485,C07485-K1
C07505,C07505-K1
C07508,C07508-K2
C07513,C07513-K1
C07518,C07518-K2
C07522,C07522-K1
C07523,C07523-K1
C07531,C07531-K1
C07547,C07547-K1
C07558,C07558-K1
C07558,C07558-K2
C07562,C07562-K2
C07571,C07571-K1
C07591,C07591-K1
C07602,C07602-K1
C07605,C07605-K1
C07606,C07606-K1
C07612,C07612-K1
C07614,C07614-K2
C07615,C07615-K1
C07628,C07628-K1
C07632,C07632-K1
C07638,C07638-K1
C07641,C07641-K1
C07646,C07646-K2
C07648,C07648-K2
C07655,C07655-K1
C07659,C07659-K1
C07671,C07671-K2
C07673,C07673-K1
C07678,C07678-K1
C07685,C07685-K1
C07686,C07686-K1
C07687,C07687-K1
C07690,C07690-K1
C07694,C07694-K1
C07698,C07698-K1
C07703,C07703-K2
C07708,C07708-K1
C07711,C07711-K1
C07717,C07717-K1
C07729,C07729-K1
C07741,C07741-K2
C07743,C07743-K2
C07750,C07750-K1
C07750,C07750-K2
C07761,C07761-K1
C07762,C07762-K1
C07784,C07784-K1
C07791,C07791-K1
C07792,C07792-K1
C07794,C07794-K1
C07809,C07809-K1
C07826,C07826-K1
C07840,C07840-K1
C07841,C07841-K1
C07845,C07845-K2
C07847,C07847-K2
C07855,C07855-K1
C07858,C07858-K2
C07862,C07862-K1
C07867,C07867-K2
C07870,C07870-K2
C07871,C07871-K1
C07872,C07872-K2
C07878,C07878-K1
C07879,C07879-K1
C07883,C07883-K1
C07898,C07898-K1
C07901,C07901-K1
C07902,C07902-K1
C07910,C07910-K1
C07919,C07919-K2
C07925,C07925-K1
C07927,C07927-K1
C07936,C07936-K2
C07944,C07944-K1
C07957,C07957-K1
C07969,C07969-K1
C07973,C07973-K1
C07981,C07981-K1
C07987,C07987-K2
C07990,C07990-K1
C07993,C07993-K1
C07995,C07995-K1
C07997,C07997-K1
C08011,C08011-K1
C08014,C08014-K1
C08024,C08024-K1
C08040,C08040-K1
C08044,C08044-K1
C08072,C08072-K1
C08075,C08075-K1
C08087,C08087-K1
C08106,C08106-K1
C08108,C08108-K1
C08111,C08111-K1
C08112,C08112-K2
C08140,C08140-K1
C08143,C08143-K1
C08148,C08148-K1
C08161,C08161-K1
C08186,C08186-K1
C08190,C08190-K2
C08196,C08196-K1
C08198,C08198-K1
C08206,C08206-K1
C08206,C08206-K2
C08222,C08222-K1
C08226,C08226-K1
C08232,C08232-K1
C08234,C08234-K1
C08250,C08250-K1
C08256,C08256-K2
C08269,C08269-K1
C08281,C08281-K2
C08288,C08288-K1
C08290,C08290-K2
C08297,C08297-K1
C08299,C08299-K1
C08302,C08302-K1
C08305,C08305-K1
C08315,C08315-K1
C08334,C08334-K1
C08336,C08336-K1
C08338,C08338-K1
C08346,C08346-K1
C08347,C08347-K1
C08348,C08348-K1
C08355,C08355-K1
C08363,C08363-K1
C08366,C08366-K2
C08372,C08372-K1
C08374,C08374-K1
C08375,C08375-K1
C08381,C08381-K1
C08391,C08391-K2
C08412,C08412-K1
C08424,C08424-K1
C08438,C08438-K1
C08450,C08450-K2
C08455,C08455-K1
C08458,C08458-K1
C08460,C08460-K1
C08465,C08465-K1
C08466,C08466-K1
C08474,C08474-K1
C08477,C08477-K1
C08478,C08478-K1
C08482,C08482-K1
C08483,C08483-K1
C08489,C08489-K2
C08494,C08494-K1
C08495,C08495-K1
C08528,C08528-K1
C08540,C08540-K1
C08541,C08541-K1
C08557,C08557-K1
C08578,C08578-K1
C08587,C08587-K1
C08593,C08593-K1
C08595,C08595-K1
C08597,C08597-K2
C08605,C08605-K1
C08610,C08610-K1
C08611,C08611-K1
C08614,C08614-K1
C08618,C08618-K1
C08623,C08623-K2
C08628,C08628-K1
C08632,C08632-K1
C08635,C08635-K1
C08637,C08637-K2
C08646,C08646-K1
C08662,C08662-K1
C08675,C08675-K1
C08679,C08679-K1
C08707,C08707-K1
C08710,C08710-K1
C08723,C08723-K1
C08727,C08727-K1
C08737,C08737-K1
C08741,C08741-K1
C08746,C08746-K1
C08748,C08748-K1
C08755,C08755-K2
C08761,C08761-K1
C08766,C08766-K1
C08797,C08797-K1
C08799,C08799-K1
C08807,C08807-K1
C08812,C08812-K1
C08831,C08831-K1
C08833,C08833-K1
C08834,C08834-K1
C08840,C08840-K1
C08841,C08841-K1
C08842,C08842-K2
C08845,C08845-K3
C08847,C08847-K1
C08850,C08850-K1
C08860,C08860-K1
C08894,C08894-K1
C08897,C08897-K1
C08905,C08905-K1
C08909,C08909-K2
C08913,C08913-K2
C08915,C08915-K1
C08917,C08917-K1
C08918,C08918-K2
C08925,C08925-K1
C08943,C08943-K2
C08944,C08944-K1
C08945,C08945-K2
C08947,C08947-K1
C08953,C08953-K1
C08962,C08962-K2
C08965,C08965-K1
C08971,C08971-K1
C08972,C08972-K2
C08980,C08980-K1
C08989,C08989-K2
C08994,C08994-K1
C08999,C08999-K1
C09007,C09007-K1
C09025,C09025-K1
C09026,C09026-K1
C09040,C09040-K1
C09043,C09043-K1
C09044,C09044-K1
C09047,C09047-K1
C09055,C09055-K1
C09063,C09063-K1
C09064,C09064-K1
C09068,C09068-K1
C09071,C09071-K1
C09073,C09073-K1
C09076,C09076-K1
C09092,C09092-K1
C09094,C09094-K1
C09117,C09117-K1
C09119,C09119-K1
C09121,C09121-K1
C09141,C09141-K1
C09146,C09146-K1
C09149,C09149-K1
C09154,C09154-K1
C09159,C09159-K1
C09165,C09165-K2
C09170,C09170-K1
C09171,C09171-K1
C09173,C09173-K1
C09174,C09174-K1
C09196,C09196-K1
C09206,C09206-K2
C09216,C09216-K1
C09221,C09221-K2
C09231,C09231-K1
C09238,C09238-K1
C09241,C09241-K2
C09246,C09246-K1
C09249,C09249-K1
C09251,C09251-K1
C09259,C09259-K1
