card_id,transaction_id
C11919-K2,3004814
C01638-K1,3004818
C01638-K1,3004823
C08460-K1,3004827
C10585-K2,3004832
C05736-K1,3004838
C10585-K2,3004849
C10585-K2,3004876
C09196-K1,3004895
C09301-K2,3004896
C04034-K2,3004904
C05289-K2,3004910
C11595-K1,3004914
C11919-K2,3004975
C11919-K2,3004986
C11919-K2,3004993
C00938-K1,3004998
C06940-K1,3005023
C07508-K2,3005074
C08460-K1,3005102
C12111-K1,3005146
C11000-K2,3005210
C09289-K1,3005276
C07212-K2,3005310
C08460-K1,3005319
C07149-K2,3005470
C06147-K2,3005476
C04034-K2,3005494
C09165-K2,3005523
C13372-K1,3005539
C09165-K2,3005542
C12961-K2,3005568
C12961-K2,3005608
C00750-K2,3005620
C00750-K2,3005655
C04248-K2,3005851
C00978-K1,3005866
C04034-K2,3005930
C11844-K2,3005969
C03880-K1,3005972
C11844-K2,3005996
C11844-K2,3006014
C02902-K2,3006024
C09221-K2,3006044
C02250-K2,3006078
C02250-K2,3006088
C01347-K2,3006168
C11000-K2,3006200
C04108-K2,3006216
C04108-K2,3006218
C02717-K1,3006275
C02891-K1,3006300
C02891-K1,3006319
C12094-K2,3006354
C12598-K2,3006366
C02891-K1,3006370
C08675-K1,3006416
C11309-K1,3006432
C05996-K1,3006461
C04034-K2,3006473
C06655-K1,3006484
C11919-K2,3006488
C06655-K1,3006490
C05385-K2,3006561
C00978-K1,3006663
C11919-K2,3006669
C11919-K2,3006678
C02000-K2,3006690
C11919-K2,3006716
C07867-K2,3006742
C09908-K1,3006763
C05976-K1,3006772
C05976-K1,3006774
C08945-K2,3006794
C04108-K2,3006841
C11000-K2,3006850
C11000-K2,3006853
C11000-K2,3006859
C11000-K2,3006872
C03699-K1,3006964
C07073-K1,3006978
C00750-K2,3006995
C11000-K2,3006996
C11000-K2,3007008
C07073-K1,3007013
C11539-K2,3007044
C04108-K2,3007047
C10308-K1,3007053
C03341-K2,3007069
C01471-K1,3007099
C00854-K2,3007110
C00854-K2,3007173
C09933-K2,3007244
C03839-K1,3007293
C03412-K1,3007307
C00854-K2,3007336
C03218-K2,3007384
C11539-K2,3007399
C11000-K2,3007451
C12900-K2,3007469
C04034-K2,3007571
C12961-K2,3007588
C09354-K1,3007653
C09354-K1,3007655
C09354-K1,3007659
C11000-K2,3007722
C06988-K1,3007851
C04346-K2,3007920
C12900-K2,3007992
C06224-K2,3008038
C00621-K2,3008084
C12961-K2,3008131
C01521-K2,3008139
C11919-K2,3008147
C06630-K2,3008217
C06630-K2,3008237
C10167-K1,3008267
C08075-K1,3008404
C04597-K2,3008421
C07508-K2,3008451
C03341-K2,3008456
C03341-K2,3008469
C02250-K2,3008495
C09301-K2,3008509
C01981-K1,3008565
C09076-K1,3008568
C06630-K2,3008575
C08945-K2,3008592
C09301-K2,3008623
C10585-K2,3008631
C09241-K2,3008657
C12961-K2,3008679
C00854-K2,3008705
C11496-K2,3008726
C12517-K2,3008731
C12961-K2,3008740
C12961-K2,3008811
C12961-K2,3008828
C12961-K2,3008839
C10585-K2,3008861
C11031-K2,3008876
C00750-K2,3008896
C11539-K2,3008926
C06655-K1,3008929
C11513-K1,3008943
C09885-K1,3008965
C11513-K1,3009007
C05385-K2,3009019
C02477-K1,3009046
C00750-K2,3009065
C04108-K2,3009082
C01521-K2,3009085
C12961-K2,3009139
C02891-K1,3009164
C12961-K2,3009170
C05263-K2,3009177
C00750-K2,3009193
C12961-K2,3009210
C12961-K2,3009257
C05307-K2,3009332
C04201-K1,3009363
C11923-K2,3009374
C02902-K2,3009500
C11919-K2,3009546
C11919-K2,3009550
C05031-K2,3009568
C04108-K2,3009582
C05031-K2,3009587
C05031-K2,3009592
C10326-K1,3009606
C02902-K2,3009620
C05031-K2,3009630
C06224-K2,3009645
C02575-K2,3009654
C05031-K2,3009659
C05031-K2,3009663
C05031-K2,3009667
C12987-K1,3009721
C12961-K2,3009761
C12982-K1,3009763
C08913-K2,3009776
C05381-K2,3009840
C07508-K2,3009884
C12982-K1,3009897
C01347-K2,3009906
C12982-K1,3009912
C02575-K2,3009915
C05381-K2,3009923
C03409-K1,3009933
C08860-K1,3009937
C06630-K2,3009966
C02573-K2,3009982
C06348-K1,3010003
C02573-K2,3010017
C07562-K2,3010078
C10127-K2,3010098
C02575-K2,3010101
C03218-K2,3010104
C00426-K2,3010108
C13001-K1,3010143
C04125-K2,3010163
C06121-K2,3010171
C10127-K2,3010183
C04125-K2,3010219
C07936-K2,3010265
C04108-K2,3010271
C07870-K2,3010417
C05245-K2,3010439
C11919-K2,3010532
C06224-K2,3010562
C07196-K2,3010596
C04108-K2,3010597
C04108-K2,3010612
C02891-K1,3010670
C08460-K1,3010794
C09791-K1,3010863
C03341-K2,3010884
C13036-K1,3010896
C01984-K1,3010908
C09657-K2,3010909
C09657-K2,3010931
C09657-K2,3010934
C03080-K2,3010994
C06549-K1,3011026
C07936-K2,3011064
C07855-K1,3011067
C12961-K2,3011072
C04125-K2,3011097
C11965-K1,3011102
C12103-K1,3011148
C09657-K2,3011272
C11923-K2,3011289
C12897-K1,3011326
C07648-K2,3011384
C00750-K2,3011530
C11509-K2,3011540
C11509-K2,3011564
C02480-K1,3011661
C06532-K2,3011782
C07936-K2,3011784
C03278-K2,3011851
C09241-K2,3011862
C01138-K2,3011876
C03278-K2,3011917
C04034-K2,3011953
C09612-K1,3011959
C05029-K1,3012049
C01982-K2,3012058
C05029-K1,3012141
C04105-K2,3012224
C08913-K2,3012259
C12223-K1,3012288
C04346-K2,3012310
C01521-K2,3012311
C08913-K2,3012321
C08913-K2,3012324
C02309-K2,3012334
C08913-K2,3012349
C08913-K2,3012362
C13440-K2,3012366
C01521-K2,3012373
C05381-K2,3012375
C01521-K2,3012385
C04125-K2,3012611
C09657-K2,3012746
C03277-K1,3012749
C09657-K2,3012770
C06224-K2,3012772
C06224-K2,3012779
C13171-K2,3012791
C00426-K2,3012793
C03040-K2,3012817
C04034-K2,3012858
C11595-K1,3012859
C07562-K2,3012878
C02716-K2,3012882
C02716-K2,3012889
C03218-K2,3012897
C13171-K2,3012922
C11709-K2,3012955
C08466-K1,3013020
C05381-K2,3013060
C08474-K1,3013144
C03218-K2,3013176
C03218-K2,3013204
C09657-K2,3013205
C03218-K2,3013230
C03218-K2,3013292
C03108-K1,3013315
C03108-K1,3013321
C00728-K2,3013327
C01966-K1,3013363
C08087-K1,3013367
C01966-K1,3013390
C01058-K1,3013442
C11847-K2,3013573
C04034-K2,3013587
C08913-K2,3013605
C01347-K2,3013608
C07981-K1,3013648
C10553-K1,3013652
C04125-K2,3013694
C04125-K2,3013695
C04965-K2,3013716
C04965-K2,3013725
C04965-K2,3013735
C12897-K1,3013878
C11944-K1,3013882
C00967-K1,3013918
C09657-K2,3013937
C09657-K2,3013982
C10308-K1,3014037
C06942-K2,3014083
C09165-K2,3014296
C02716-K2,3014312
C04248-K2,3014411
C05031-K2,3014473
C11642-K1,3014478
C06942-K2,3014516
C05031-K2,3014522
C07508-K2,3014534
C06208-K1,3014561
C06942-K2,3014562
C07508-K2,3014608
C07508-K2,3014682
C00614-K2,3014714
C11332-K1,3014716
C12144-K2,3014783
C05309-K1,3014786
C11709-K2,3014799
C05362-K1,3014874
C02354-K2,3014915
C02354-K2,3014994
C01719-K1,3015019
C01155-K2,3015024
C07220-K1,3015025
C03651-K2,3015051
C10930-K2,3015079
C05704-K2,3015213
C01155-K2,3015237
C07508-K2,3015252
C05031-K2,3015271
C07508-K2,3015319
C02250-K2,3015345
C07508-K2,3015399
C02250-K2,3015406
C11923-K2,3015408
C11923-K2,3015422
C09657-K2,3015426
C09657-K2,3015485
C12111-K1,3015501
C04034-K2,3015525
C05359-K1,3015540
C09666-K2,3015557
C09612-K1,3015640
C03738-K2,3015674
C03278-K2,3015709
C02902-K2,3015717
C03218-K2,3015728
C09791-K1,3015795
C09800-K2,3015808
C05704-K2,3015829
C02902-K2,3015853
C11227-K2,3015854
C03278-K2,3015858
C01155-K2,3015860
C03218-K2,3015895
C09657-K2,3016031
C06605-K1,3016060
C05031-K2,3016062
C00952-K1,3016079
C00952-K1,3016080
C05031-K2,3016084
C08450-K2,3016131
C05031-K2,3016137
C01719-K1,3016184
C03218-K2,3016185
C01719-K1,3016214
C01719-K1,3016223
C12742-K1,3016231
C09241-K2,3016234
C11847-K2,3016251
C06764-K2,3016269
C01040-K2,3016271
C05381-K2,3016293
C11847-K2,3016314
C02716-K2,3016375
C07686-K1,3016376
C00952-K1,3016472
C09165-K2,3016478
C00952-K1,3016483
C03218-K2,3016489
C03218-K2,3016530
C07508-K2,3016560
C11597-K2,3016685
C06764-K2,3016789
C02147-K2,3016942
C06630-K2,3016957
C03218-K2,3017035
C01179-K1,3017090
C09354-K1,3017132
C12987-K1,3017193
C11597-K2,3017195
C11597-K2,3017199
C03787-K1,3017211
C05031-K2,3017258
C05031-K2,3017266
C07562-K2,3017276
C02147-K2,3017315
C10040-K1,3017328
C11923-K2,3017329
C04597-K2,3017337
C05031-K2,3017350
C01486-K1,3017359
C01486-K1,3017380
C05031-K2,3017390
C06464-K1,3017400
C05031-K2,3017413
C08450-K2,3017425
C05381-K2,3017478
C05381-K2,3017481
C11847-K2,3017486
C05381-K2,3017497
C02231-K2,3017516
C09241-K2,3017580
C09241-K2,3017620
C02897-K1,3017705
C00952-K1,3017821
C07508-K2,3017828
C07508-K2,3017836
C02245-K2,3017880
C06962-K2,3017915
C11000-K2,3017933
C02065-K1,3018128
C05689-K2,3018129
C02250-K2,3018146
C06168-K1,3018221
C07993-K1,3018241
C05381-K2,3018253
C07993-K1,3018273
C07993-K1,3018312
C07993-K1,3018315
C07993-K1,3018430
C11509-K2,3018493
C02147-K2,3018566
C05359-K1,3018609
C02354-K2,3018610
C12982-K1,3018631
C01116-K2,3018685
C13171-K2,3018737
C04125-K2,3018743
C07743-K2,3018749
C00777-K1,3018758
C04269-K1,3018827
C04034-K2,3018866
C08860-K1,3018930
C08381-K1,3018959
C02573-K2,3019066
C06464-K1,3019089
C02354-K2,3019093
C06464-K1,3019133
C02354-K2,3019154
C00426-K2,3019186
C04134-K1,3019187
C06464-K1,3019259
C04125-K2,3019269
C12982-K1,3019317
C03168-K1,3019370
C06464-K1,3019376
C02656-K1,3019389
C03218-K2,3019392
C06942-K2,3019445
C09657-K2,3019489
C02354-K2,3019614
C11958-K1,3019623
C04046-K2,3019714
C00750-K2,3019757
C06464-K1,3019785
C06464-K1,3019804
C03218-K2,3019822
C06464-K1,3019958
C06464-K1,3019965
C00750-K2,3020004
C06464-K1,3020011
C06464-K1,3020021
C12602-K1,3020024
C11923-K2,3020058
C04348-K1,3020134
C11919-K2,3020148
C01119-K2,3020232
C01887-K1,3020285
C02147-K2,3020310
C07204-K1,3020349
C08489-K2,3020382
C11898-K1,3020422
C02545-K2,3020434
C05381-K2,3020473
C12961-K2,3020499
C11092-K2,3020576
C11092-K2,3020578
C00750-K2,3020583
C09146-K1,3020586
C09146-K1,3020624
C02776-K1,3020654
C08460-K1,3020692
C04125-K2,3020744
C13249-K1,3020801
C07562-K2,3020816
C12987-K1,3020833
C05739-K2,3020849
C04346-K2,3020863
C09354-K1,3020865
C01377-K1,3021039
C04034-K2,3021068
C00273-K1,3021125
C01982-K2,3021128
C09241-K2,3021233
C02573-K2,3021250
C04865-K1,3021279
C12542-K1,3021425
C05245-K2,3021495
C05245-K2,3021498
C06707-K1,3021528
C13410-K1,3021547
C06707-K1,3021559
C13388-K1,3021611
C13388-K1,3021658
C09165-K2,3021713
C01983-K1,3021740
C03405-K2,3021812
C01175-K1,3021843
C13364-K1,3021887
C08381-K1,3021896
C11847-K2,3021897
C04269-K1,3021900
C02456-K1,3021927
C11000-K2,3022016
C06224-K2,3022078
C05423-K1,3022091
C01719-K1,3022222
C05031-K2,3022229
C05031-K2,3022239
C03381-K1,3022248
C10955-K2,3022262
C00622-K1,3022279
C02354-K2,3022316
C11847-K2,3022340
C11923-K2,3022349
C09363-K2,3022355
C07936-K2,3022389
C04346-K2,3022390
C12987-K1,3022405
C01909-K2,3022604
C01909-K2,3022619
C01909-K2,3022632
C08489-K2,3022648
C08190-K2,3022765
C09657-K2,3022828
C09657-K2,3022878
C00750-K2,3022905
C03047-K2,3022971
C12987-K1,3022983
C07562-K2,3023168
C13253-K2,3023205
C03218-K2,3023214
C02809-K2,3023252
C02809-K2,3023256
C02809-K2,3023259
C05509-K1,3023281
C11019-K2,3023311
C00750-K2,3023341
C10757-K2,3023399
C08860-K1,3023427
C11294-K2,3023480
C08860-K1,3023496
C11227-K2,3023529
C08860-K1,3023533
C07871-K1,3023542
C12742-K1,3023566
C12742-K1,3023570
C08860-K1,3023609
C03040-K2,3023648
C07936-K2,3023667
C01269-K1,3023710
C05245-K2,3023783
C02222-K1,3023797
C05245-K2,3023800
C03218-K2,3023815
C03218-K2,3023865
C11923-K2,3023880
C00750-K2,3023938
C02740-K1,3023976
C06797-K1,3024000
C11031-K2,3024079
C03040-K2,3024089
C11031-K2,3024093
C09657-K2,3024107
C06362-K1,3024122
C11031-K2,3024126
C06663-K2,3024170
C06224-K2,3024175
C03397-K1,3024215
C06744-K2,3024247
C11522-K2,3024328
C13440-K2,3024423
C10010-K1,3024432
C08256-K2,3024461
C11191-K1,3024489
C13372-K1,3024554
C09806-K1,3024586
C06108-K1,3024590
C04346-K2,3024675
C03738-K2,3024693
C10983-K1,3024726
C03738-K2,3024727
C06630-K2,3024748
C03047-K2,3024760
C01002-K1,3024869
C04034-K2,3024874
C04034-K2,3024880
C05704-K2,3024924
C03218-K2,3024950
C03218-K2,3024953
C13171-K2,3024961
C01104-K2,3025016
C07006-K1,3025127
C07513-K1,3025150
C10010-K1,3025185
C11847-K2,3025192
C02716-K2,3025199
C09657-K2,3025242
C11847-K2,3025256
C13410-K1,3025341
C03474-K1,3025452
C13171-K2,3025566
C00810-K1,3025576
C13171-K2,3025610
C07845-K2,3025619
C11844-K2,3025678
C10132-K1,3026023
C13449-K1,3026055
C12258-K2,3026078
C02477-K1,3026148
C03231-K2,3026149
C12258-K2,3026162
C08679-K1,3026197
C12094-K2,3026212
C12258-K2,3026260
C01104-K2,3026264
C12961-K2,3026321
C12961-K2,3026347
C12258-K2,3026350
C12453-K1,3026352
C12258-K2,3026374
C13249-K1,3026407
C03218-K2,3026495
C02147-K2,3026538
C03218-K2,3026541
C03218-K2,3026564
C01719-K1,3026725
C01719-K1,3026749
C12861-K1,3026769
C00854-K2,3026773
C00854-K2,3026795
C00488-K1,3026830
C07717-K1,3026849
C05031-K2,3026905
C12258-K2,3026925
C05530-K2,3026984
C08466-K1,3027037
C10372-K1,3027057
C04346-K2,3027059
C04346-K2,3027064
C01719-K1,3027125
C03218-K2,3027145
C01719-K1,3027151
C02477-K1,3027156
C01155-K2,3027248
C02716-K2,3027276
C07855-K1,3027307
C02477-K1,3027320
C11944-K1,3027363
C11944-K1,3027401
C00889-K2,3027435
C07212-K2,3027478
C01155-K2,3027561
C01155-K2,3027604
C11539-K2,3027653
C04125-K2,3027669
C05031-K2,3027721
C07562-K2,3027744
C11919-K2,3027753
C04865-K1,3027797
C04571-K2,3027813
C04865-K1,3027830
C05381-K2,3027861
C09354-K1,3027882
C11919-K2,3027888
C04571-K2,3027929
C02809-K2,3027937
C02809-K2,3027978
C02809-K2,3027982
C02809-K2,3027986
C11148-K1,3027987
C02809-K2,3028004
C10852-K1,3028017
C13081-K1,3028034
C02809-K2,3028044
C07562-K2,3028120
C11522-K2,3028154
C04125-K2,3028219
C06121-K2,3028288
C10402-K1,3028382
C10840-K1,3028407
C01426-K1,3028428
C04125-K2,3028438
C11509-K2,3028484
C11970-K1,3028532
C11246-K1,3028543
C11381-K2,3028556
C08450-K2,3028621
C01104-K2,3028648
C05031-K2,3028676
C02181-K2,3028697
C05031-K2,3028702
C01890-K1,3028709
C06630-K2,3028713
C05031-K2,3028717
C05031-K2,3028719
C03108-K1,3028754
C11000-K2,3028766
C11000-K2,3028774
C02231-K1,3028921
C11496-K2,3028924
C08482-K1,3029100
C02780-K2,3029190
C09800-K2,3029217
C00854-K2,3029220
C03218-K2,3029376
C09301-K2,3029395
C02740-K1,3029484
C07204-K1,3029497
C07204-K1,3029542
C02573-K2,3029652
C03341-K2,3029665
C11951-K1,3029691
C06962-K2,3029719
C06962-K2,3029736
C11352-K1,3029752
C11844-K2,3029776
C11352-K1,3029777
C05031-K2,3029795
C11352-K1,3029807
C05031-K2,3029808
C06962-K2,3029833
C05031-K2,3029841
C04034-K2,3029948
C06630-K2,3029951
C06962-K2,3029985
C12258-K2,3030001
C12982-K1,3030014
C03427-K2,3030019
C07855-K1,3030037
C12982-K1,3030042
C07295-K1,3030055
C04034-K2,3030058
C05031-K2,3030085
C10010-K1,3030100
C02477-K1,3030241
C13440-K2,3030253
C03285-K2,3030265
C04125-K2,3030296
C03285-K2,3030298
C12982-K1,3030311
C13410-K1,3030339
C12258-K2,3030341
C12982-K1,3030361
C12982-K1,3030371
C12982-K1,3030384
C08989-K2,3030396
C10955-K2,3030424
C05791-K2,3030425
C06549-K1,3030488
C12966-K1,3030518
C12982-K1,3030528
C12982-K1,3030537
C02573-K2,3030551
C05791-K2,3030563
C12982-K1,3030620
C12982-K1,3030625
C09344-K1,3030642
C00854-K2,3030654
C00854-K2,3030701
C03218-K2,3030857
C08913-K2,3030883
C03676-K2,3030906
C06630-K2,3030951
C08489-K2,3030957
C09806-K1,3030970
C03218-K2,3030990
C03218-K2,3030991
C06630-K2,3031006
C03218-K2,3031031
C09806-K1,3031040
C04125-K2,3031071
C09296-K1,3031227
C07993-K1,3031228
C03218-K2,3031238
C07993-K1,3031274
C11709-K2,3031357
C02545-K2,3031475
C03285-K2,3031502
C03285-K2,3031510
C03285-K2,3031512
C03285-K2,3031513
C00750-K2,3031523
C00750-K2,3031547
C03285-K2,3031550
C11309-K1,3031554
C05245-K2,3031559
C08860-K1,3031566
C04196-K2,3031588
C04125-K2,3031593
C11309-K1,3031628
C11309-K1,3031686
C11923-K2,3031806
C11709-K2,3031844
C06962-K2,3031847
C13171-K2,3031872
C12258-K2,3032017
C12966-K1,3032080
C06630-K2,3032109
C11352-K1,3032111
C11352-K1,3032124
C04125-K2,3032133
C08962-K2,3032177
C00557-K1,3032233
C11509-K2,3032240
C11294-K2,3032303
C04034-K2,3032334
C10837-K2,3032389
C10837-K2,3032398
C10837-K2,3032401
C11309-K1,3032422
C02545-K2,3032438
C06855-K1,3032451
C02231-K2,3032480
C05381-K2,3032504
C05381-K2,3032518
C13249-K1,3032530
C07562-K2,3032536
C05031-K2,3032539
C11000-K2,3032580
C11000-K2,3032612
C07615-K1,3032623
C11000-K2,3032648
C11958-K1,3032654
C10955-K2,3032749
C02231-K2,3032861
C11309-K1,3033022
C05704-K2,3033032
C04965-K2,3033053
C08962-K2,3033094
C05381-K2,3033143
C03264-K1,3033245
C03341-K2,3033268
C11597-K2,3033315
C02715-K1,3033318
C11597-K2,3033335
C11460-K1,3033337
C11597-K2,3033343
C11919-K2,3033423
C12900-K2,3033461
C09521-K2,3033472
C07508-K2,3033483
C07508-K2,3033502
C11919-K2,3033546
C11082-K1,3033579
C11000-K2,3033610
C03360-K1,3033654
C11847-K2,3033677
C02716-K2,3033694
C12680-K1,3033781
C11847-K2,3033785
C03218-K2,3033827
C01966-K1,3033867
C09800-K2,3033872
C02902-K2,3033877
C09657-K2,3033919
C00938-K1,3033941
C05704-K2,3033967
C09800-K2,3033984
C02842-K1,3033992
C09872-K1,3034031
C05942-K1,3034117
C10010-K1,3034169
C07562-K2,3034251
C08366-K2,3034258
C07855-K1,3034285
C11509-K2,3034359
C03575-K2,3034439
C11509-K2,3034443
C00008-K2,3034531
C09241-K2,3034656
C03278-K2,3034681
C03040-K2,3034693
C04125-K2,3034694
C05263-K2,3034699
C08962-K2,3034703
C07073-K1,3034746
C08913-K2,3034747
C00488-K1,3034748
C11173-K1,3034811
C06549-K1,3034831
C00488-K1,3034874
C09579-K2,3034985
C09301-K2,3035020
C02354-K2,3035077
C01966-K1,3035200
C03218-K2,3035221
C02480-K1,3035236
C01966-K1,3035237
C11709-K2,3035242
C03218-K2,3035244
C11709-K2,3035259
C01966-K1,3035278
C05381-K2,3035292
C11709-K2,3035303
C05031-K2,3035354
C07981-K1,3035381
C09354-K1,3035384
C11787-K1,3035405
C05381-K2,3035426
C11787-K1,3035433
C11787-K1,3035436
C11787-K1,3035448
C05031-K2,3035475
C11787-K1,3035477
C05381-K2,3035485
C11787-K1,3035490
C11923-K2,3035501
C11787-K1,3035511
C09933-K2,3035514
C11309-K1,3035524
C05031-K2,3035537
C07855-K1,3035543
C07562-K2,3035579
C03218-K2,3035607
C03218-K2,3035654
C12961-K2,3035664
C12961-K2,3035680
C11923-K2,3035738
C00329-K2,3035821
C03218-K2,3035825
C03040-K2,3035838
C03040-K2,3035891
C03218-K2,3035893
C06855-K1,3035977
C11000-K2,3035981
C05031-K2,3035993
C03341-K2,3035998
C13364-K1,3036021
C03898-K1,3036086
C11919-K2,3036126
C10837-K2,3036148
C02147-K2,3036171
C05381-K2,3036173
C10837-K2,3036178
C03898-K1,3036233
C02147-K2,3036259
C13249-K1,3036269
C10032-K2,3036275
C13249-K1,3036300
C07562-K2,3036333
C08962-K2,3036381
C00728-K2,3036386
C05381-K2,3036423
C10955-K2,3036424
C10955-K2,3036436
C10955-K2,3036445
C10955-K2,3036446
C11000-K2,3036494
C11000-K2,3036497
C11000-K2,3036504
C04125-K2,3036530
C09868-K1,3036548
C13440-K2,3036633
C11847-K2,3036775
C06962-K2,3036840
C03040-K2,3036859
C00750-K2,3036867
C03040-K2,3036886
C00750-K2,3036922
C11309-K1,3036957
C13410-K1,3036970
C02181-K2,3036992
C13171-K2,3037062
C04571-K2,3037114
C04571-K2,3037166
C05504-K1,3037190
C04571-K2,3037261
C12258-K2,3037272
C09657-K2,3037359
C04046-K2,3037369
C03218-K2,3037434
C03218-K2,3037461
C06549-K1,3037527
C04125-K2,3037543
C04125-K2,3037614
C10010-K1,3037627
C10568-K1,3037649
C07855-K1,3037718
C02250-K2,3037725
C06299-K1,3037736
C10010-K1,3037764
C10010-K1,3037772
C10837-K2,3037778
C07855-K1,3037780
C01521-K2,3037792
C10010-K1,3037803
C01525-K2,3037808
C00294-K2,3037814
C09933-K2,3037820
C07855-K1,3037854
C02279-K1,3037862
C00294-K2,3037888
C06224-K2,3037895
C02147-K2,3037914
C02147-K2,3037936
C06224-K2,3037954
C03218-K2,3037956
C10837-K2,3037965
C07855-K1,3037986
C10837-K2,3037994
C10308-K1,3037998
C10837-K2,3038001
C10837-K2,3038002
C10837-K2,3038017
C03218-K2,3038022
C10837-K2,3038027
C10837-K2,3038028
C10837-K2,3038040
C02279-K1,3038053
C10519-K1,3038060
C10837-K2,3038068
C10837-K2,3038074
C10837-K2,3038096
C10837-K2,3038100
C03278-K2,3038112
C02279-K1,3038114
C08489-K2,3038229
C06549-K1,3038238
C11958-K1,3038288
C06872-K1,3038367
C02147-K2,3038393
C02147-K2,3038408
C07703-K2,3038418
C03218-K2,3038448
C03550-K1,3038455
C03992-K2,3038533
C03218-K2,3038549
C06324-K1,3038607
C02279-K1,3038615
C10010-K1,3038663
C03278-K2,3038678
C04034-K2,3038729
C02320-K2,3038741
C03278-K2,3038768
C03278-K2,3038787
C12656-K1,3038831
C10585-K2,3038894
C10585-K2,3038922
C01521-K2,3038967
C11915-K1,3039011
C04046-K2,3039132
C02354-K2,3039150
C02716-K2,3039169
C04046-K2,3039196
C00426-K2,3039229
C02354-K2,3039253
C13527-K1,3039254
C11709-K2,3039278
C13081-K1,3039290
C11847-K2,3039436
C11709-K2,3039442
C02354-K2,3039469
C02882-K1,3039492
C05381-K2,3039496
C06655-K1,3039540
C03427-K2,3039577
C03218-K2,3039591
C03218-K2,3039728
C00477-K2,3039733
C11844-K2,3039765
C11844-K2,3039767
C02354-K2,3039781
C02354-K2,3039789
C11844-K2,3039801
C03427-K2,3039806
C11709-K2,3039856
C12641-K2,3039941
C09286-K1,3039956
C03040-K2,3040007
C03575-K2,3040043
C11844-K2,3040116
C11844-K2,3040120
C11844-K2,3040129
C11844-K2,3040150
C11844-K2,3040167
C06630-K2,3040177
C13364-K1,3040197
C02147-K2,3040216
C02354-K2,3040275
C02231-K1,3040280
C11919-K2,3040322
C04108-K2,3040382
C06464-K1,3040400
C06464-K1,3040410
C02231-K1,3040482
C09791-K1,3040510
C06906-K1,3040534
C08161-K1,3040545
C09800-K2,3040690
C00750-K2,3040824
C00750-K2,3040910
C06224-K2,3040915
C11923-K2,3040952
C07741-K2,3041022
C01521-K2,3041089
C01521-K2,3041145
C11923-K2,3041174
C11309-K1,3041186
C08917-K1,3041220
C02250-K2,3041234
C04125-K2,3041240
C10308-K1,3041257
C05031-K2,3041263
C09791-K1,3041273
C09363-K2,3041302
C13410-K1,3041319
C00854-K2,3041330
C13058-K2,3041353
C03465-K1,3041404
C00796-K1,3041412
C09933-K2,3041471
C03427-K2,3041493
C03427-K2,3041606
C03019-K2,3041621
C13058-K2,3041702
C07338-K1,3041723
C03218-K2,3041820
C02740-K1,3041850
C09241-K2,3041939
