transaction_id,device_id
3000001,SM-T810 Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2048x1536
3000769,MacOS | Mac OS X 10_13_1 | safari generic | 2560x1440
3000778,MacOS | Mac OS X 10_13_1 | chrome 62.0 | 2560x1600
3000780,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3000781,Windows | Windows 10 | chrome 62.0 | 1440x900
3000784,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750
3000791,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3000795,SM-J327V Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1280x720
3000805,Windows |  | chrome 62.0 | 
3000812,Trident/7.0 | Windows 8.1 | ie 11.0 for desktop | 1366x768
3000813,Windows | Windows 10 | firefox 57.0 | 1600x900
3000815,Windows |  | chrome 62.0 | 
3000821,Windows | Windows 8.1 | chrome 62.0 | 
3000833,Windows | Windows 8.1 | chrome 62.0 | 
3000834,Windows | Windows 8.1 | chrome 62.0 | 
3000838,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3000845,iOS Device | iOS 11.0.0 | mobile safari 11.0 | 2048x1536
3000857,Trident/7.0 | Windows 8.1 | ie 11.0 for desktop | 1366x768
3000862,Windows | Windows 10 | chrome 62.0 | 1920x1080
3000871,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1136x640
3000872,iOS Device | iOS 9.3.5 | mobile safari 9.0 | 2048x1536
3000876,Windows | Windows 7 | chrome 62.0 | 1600x900
3000880,Windows | Windows 10 | chrome 62.0 | 1600x900
3000886,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3000891,Windows | Windows XP | firefox 52.0 | 1152x864
3000893,Windows | Windows 10 | chrome 62.0 | 1366x768
3000895,MacOS | Mac OS X 10_13_1 | safari generic | 4096x2304
3000899, |  | mobile safari 10.0 | 
3000901,Windows | Windows 8.1 | chrome 62.0 | 1366x768
3000903,Windows | Windows 7 | ie 11.0 for desktop | 
3000904,QTASUN1 Build/NRD90M | Android 7.0 | chrome 56.0 for android | 1920x1200
3000911,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750
3000916,Windows | Windows 10 | chrome 60.0 | 1920x1080
3000922,Windows |  | chrome 62.0 | 
3000932,LG-D693n Build/LRX22G |  | chrome 60.0 for android | 
3000942,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1440x900
3000943, |  | chrome | 
3000945,Windows |  | chrome 62.0 | 
3000953,Windows | Windows 7 | chrome 62.0 | 1280x1024
3000956,MacOS | Mac OS X 10_11_6 | safari generic | 1920x1080
3000960,HUAWEI RIO-L03 Build/HUAWEIRIO-L03 |  | chrome 62.0 for android | 
3000967,Windows | Windows 7 | chrome 62.0 | 1366x768
3000973,Trident/7.0 |  | ie 11.0 for desktop | 
3000975,HTC 10 Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2560x1440
3000981,Windows | Windows 7 | chrome 62.0 | 1920x1200
3000987,SM-G550T Build/MMB29K | Android 6.0.1 | chrome 59.0 for android | 1280x720
3000989,SM-G550T Build/MMB29K | Android 6.0.1 | chrome 59.0 for android | 1280x720
3000998,MacOS | Mac | safari generic | 1680x1050
3001002,Windows | Windows 10 | edge 14.0 | 1920x1080
3001006,Windows | Windows 10 | chrome 62.0 | 1366x768
3001011,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1366x768
3001021,MacOS | Mac OS X 10_10_5 | safari generic | 1680x1050
3001024,5012G Build/MRA58K |  | chrome 55.0 for android | 
3001039,Windows | Windows 7 | chrome 62.0 | 1280x1024
3001041,Windows |  | chrome 62.0 | 
3001046,Windows | Windows 10 | chrome 62.0 | 1920x1080
3001059,Windows | Windows 10 | chrome 62.0 | 1600x900
3001073,SAMSUNG SM-T587P Build/NRD90M | Android 7.0 | samsung browser 6.2 | 1920x1200
3001083,MacOS | Mac OS X 10_13_1 | safari generic | 1366x768
3001089,iOS Device | iOS 10.2.0 | mobile safari 10.0 | 1136x640
3001092,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 
3001098,MacOS | Mac OS X 10_11_6 | chrome 62.0 | 2560x1600
3001102, |  | chrome 62.0 | 
3001116,MacOS | Mac OS X 10_13_1 | safari generic | 2560x1600
3001123,Windows | Windows 7 | firefox 57.0 | 1600x900
3001128,Windows | Windows 10 | edge 15.0 | 
3001159,LG-V410 | Android 5.0.2 | chrome 61.0 for android | 
3001160,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3001172,Windows | Windows 7 | chrome 62.0 | 1280x1024
3001174,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1280x720
3001176,Windows | Windows 7 | chrome 62.0 | 1280x1024
3001180,SAMSUNG SM-G891A Build/NRD90M | Android 7.0 | samsung browser 6.2 | 1920x1080
3001181,MacOS | Mac OS X 10_10_5 | safari generic | 1440x900
3001184,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1136x640
3001185,MacOS | Mac OS X 10_12_6 | safari generic | 2880x1800
3001209, |  | mobile safari 9.0 | 
3001213,Moto | Android 7.0 | chrome generic | 1920x1080
3001225, |  | mobile safari 11.0 | 
3001229,SAMSUNG SM-G891A Build/NRD90M | Android 7.0 | samsung browser 6.2 | 1920x1080
3001238,Windows | Windows 10 | chrome 60.0 | 1920x1080
3001244,Windows | Windows 10 | edge 16.0 | 1366x768
3001248, |  | mobile safari 11.0 | 
3001253,Windows |  | chrome 62.0 | 
3001264,Windows |  | chrome 62.0 | 
3001274,iOS Device | iOS 11.1.2 | mobile safari generic | 1334x750
3001276,Windows |  | ie 11.0 for desktop | 
3001277,Windows | Windows 10 | edge 15.0 | 1366x768
3001279,Windows | Windows 10 | firefox 57.0 | 1920x1080
3001286,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 2048x1536
3001287,MacOS | Mac OS X 10_10_5 | safari generic | 1920x1080
3001297,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1600x900
3001298,Windows | Windows 10 | chrome 62.0 | 3000x2000
3001303, | Linux | chrome 62.0 | 1366x768
3001307, |  | chrome 62.0 | 
3001308,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2048x1536
3001327,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1334x750
3001335,MacOS | Mac OS X 10_7_5 | chrome 49.0 | 1920x1080
3001336,iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242
3001338,Windows | Windows 10 | edge 15.0 | 1600x900
3001339,iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242
3001340,iOS Device | iOS 10.2.1 | mobile safari 10.0 | 1136x640
3001343,MacOS | Mac OS X 10_13_1 | safari generic | 5120x2880
3001355,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1920x1080
3001358,MacOS | Mac OS X 10_9_5 | chrome 62.0 | 1920x1080
3001369,SM-J727V Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1280x720
3001377,iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242
3001381,iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242
3001382, |  | mobile safari 11.0 | 
3001384,Trident/7.0 | Windows 10 | ie 11.0 for tablet | 1920x1080
3001385,Windows | Windows 10 | chrome 62.0 | 1366x768
3001386,Windows |  | chrome 62.0 | 
3001388,iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242
3001393,Windows | Windows 7 | chrome 62.0 | 1920x1080
3001397,Windows | Windows 10 | chrome 62.0 | 
3001398,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2048x1536
3001399,Windows | Windows 7 | firefox 57.0 | 1920x1080
3001402,Blade V6 Plus Build/MRA58K |  | chrome 62.0 for android | 
3001406,MacOS | Mac OS X 10_9_5 | chrome 62.0 | 1920x1080
3001408,MacOS | Mac OS X 10_13_1 | safari generic | 1920x1080
3001410,iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242
3001411,Windows | Windows 7 | chrome 62.0 | 1920x1080
3001413,rv:56.0 | Mac OS X 10.12 | firefox 56.0 | 1920x1080
3001414,Windows | Windows 8.1 | ie 11.0 for desktop | 
3001415,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1600x900
3001425,Windows | Windows 10 | edge 15.0 | 1920x1080
3001433,Windows |  | chrome 62.0 | 
3001447,Windows | Windows 8.1 | chrome 62.0 | 1920x1080
3001454,Windows | Windows 8.1 | chrome 62.0 | 1280x1024
3001479,SM-G550T Build/MMB29K | Android 6.0.1 | chrome 59.0 for android | 1280x720
3001480,SM-G532M Build/MMB29T |  | chrome 60.0 for android | 
3001485, |  | mobile safari 10.0 | 
3001492,Windows | Windows 10 | chrome 62.0 | 1440x900
3001498,GT-P5113 | Android | chrome 62.0 for android | 1280x800
3001500,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 
3001501,iOS Device | iOS 11.0.0 | mobile safari 11.0 | 1334x750
3001509,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750
3001514,MacOS | Mac OS X 10_13_1 | safari generic | 1440x900
3001518,Windows |  | firefox 57.0 | 
3001522,Windows |  | firefox 57.0 | 
3001526,Windows | Windows 10 | chrome 62.0 | 3840x2160
3001528,Windows |  | chrome 62.0 | 
3001533,XT1254 Build/MCG24.251-5-5 | Android 6.0.1 | chrome 62.0 for android | 2560x1440
3001536,MacOS | Mac OS X 10_12_6 | safari generic | 1440x900
3001538,rv:57.0 | Mac OS X 10.10 | firefox 57.0 | 2880x1800
3001546,Windows |  | chrome 62.0 | 
3001555,Windows | Windows 7 | chrome 62.0 | 1920x1080
3001561,Windows | Windows 7 | chrome 62.0 | 1366x768
3001563,Windows | Windows 7 | chrome 62.0 | 1920x1080
3001565,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 2001x1125
3001574,Windows | Windows 10 | firefox 57.0 | 1600x900
3001577,rv:57.0 | Mac OS X 10.13 | firefox 57.0 | 1440x900
3001590,rv:57.0 | Mac OS X 10.10 | firefox 57.0 | 1920x1080
3001593,Windows | Windows 10 | chrome 62.0 | 1920x1080
3001599,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 2880x1800
3001605, |  | mobile safari 11.0 | 
3001610,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2436x1125
3001611,Windows | Windows 7 | firefox 57.0 | 1366x768
3001619,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1920x1080
3001621,Windows | Windows 10 | firefox 57.0 | 1440x900
3001628,Windows | Windows 7 |  | 1638x922
3001633,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750
3001634,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1920x1080
3001635,rv:11.0 |  | ie 11.0 for desktop | 
3001637,Windows | Windows 10 | firefox 57.0 | 1366x768
3001639,Windows | Windows 7 | chrome 62.0 | 1440x900
3001645,Windows |  | chrome 62.0 | 
3001646,MacOS | Mac OS X 10_10_5 | safari generic | 1920x1200
3001647,Windows |  | chrome 62.0 | 
3001650,iOS Device | iOS 11.2.0 | mobile safari 11.0 | 2208x1242
3001651, |  | mobile safari 11.0 | 
3001657,Windows | Windows 10 | chrome 62.0 | 2560x1440
3001664,iOS Device | iOS 11.2.0 | mobile safari 11.0 | 2048x1536
3001667,LG-D331 Build/LRX22G |  | chrome 60.0 for android | 
3001668,rv:11.0 | Windows 7 | ie 11.0 for desktop | 
3001672, |  | mobile safari 11.0 | 
3001689,Windows |  | chrome 62.0 | 
3001694,Windows |  | chrome 62.0 | 
3001699, |  | mobile safari 11.0 | 
3001700, | Android | chrome 62.0 | 1920x1080
3001701,SM-G950U Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2220x1080
3001702,iOS Device | iOS 9.3.5 | mobile safari 9.0 | 1024x768
3001711,Moto G (4) Build/NPJ25.93-14.5 |  | chrome generic | 
3001712, |  | chrome 62.0 | 
3001713,MacOS | Mac OS X 10_11_3 | safari generic | 1920x1080
3001718,iOS Device | iOS 11.1.2 | mobile safari generic | 1334x750
3001719,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1920x1080
3001724,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 2048x1536
3001728,SM-G900V Build/MMB29M | Android 6.0.1 | chrome 57.0 for android | 1920x1080
3001730,Windows | Windows 10 | chrome 62.0 | 1280x1024
3001740,Windows |  | chrome 62.0 | 
3001745,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3001747,Windows |  | chrome 62.0 | 
3001750,SM-G950U Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2220x1080
3001753,MacOS | Mac OS X 10_12_6 | chrome 61.0 | 1440x900
3001769,rv:51.0 |  | firefox | 
3001772,MacOS | Mac OS X 10_12_3 | chrome 62.0 | 1440x900
3001784,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1920x1080
3001796,Windows | Windows 10 | edge 15.0 | 1600x900
3001798,MacOS | Mac OS X 10_12_3 | chrome 62.0 | 1440x900
3001814,LG-M322 | Android 7.0 | chrome 62.0 for android | 1280x720
3001815, |  | chrome generic | 
3001820,Trident/7.0 |  | ie 11.0 for desktop | 
3001837,Windows | Windows 10 | firefox 57.0 | 1280x1024
3001846,Windows |  | chrome 62.0 | 
3001851,LG-M322 | Android 7.0 | chrome 62.0 for android | 1280x720
3001853,MacOS | Mac OS X 10_10_5 | safari generic | 1440x900
3001854,Windows | Windows 10 | firefox 57.0 | 1600x900
3001865, | Linux | chrome 62.0 | 1366x768
3001866,MacOS | Mac OS X 10_12_6 | safari generic | 2560x1440
3001879, |  | chrome 62.0 | 
3001887,Windows | Windows 10 | edge 15.0 | 1600x900
3001892,iOS Device | iOS 11.0.1 | mobile safari 11.0 | 2048x1536
3001907,SM-E500M Build/KTU84P |  | chrome 62.0 for android | 
3001913,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750
3001918,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3001919,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 2048x1536
3001920,iOS Device | iOS 11.0.1 | mobile safari 11.0 | 2048x1536
3001925, |  | chrome 62.0 | 
3001945,SM-G900T Build/MMB29M | Android 6.0.1 | chrome 62.0 for android | 1920x1080
3001949,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242
3001955,iOS Device | iOS 11.1.2 | mobile safari generic | 2048x1536
3001957, |  | mobile safari 11.0 | 
3001958, | Android | chrome 62.0 | 2560x1440
3001959,iOS Device | iOS 9.3.5 | mobile safari 9.0 | 1024x768
3001961,MacOS | Mac OS X 10_11_6 | chrome 62.0 | 1366x768
3001968,Windows | Windows 10 | edge 15.0 | 
3001969,Windows | Windows 10 | edge 15.0 | 
3001973, |  | mobile safari 11.0 | 
3001984, |  | mobile safari 10.0 | 
3001986,MacOS | Mac OS X 10_11_6 | chrome 61.0 | 1920x1080
3001990,iOS Device | iOS 11.1.1 | mobile safari generic | 1334x750
3001999,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2001x1125
3002010,Windows |  | chrome 62.0 | 
3002019, |  | chrome 62.0 | 
3002021,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2436x1125
3002022,Windows | Windows 7 | chrome 62.0 | 1360x768
3002024,Windows | Windows 10 | chrome 62.0 | 1366x768
3002027,Windows | Windows 10 | chrome 62.0 | 1600x900
3002035, |  | chrome 62.0 | 
3002036,Z410 |  | chrome 62.0 for android | 
3002038,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1920x1080
3002039,SAMSUNG | Android 7.0 | samsung browser 6.2 | 1920x1080
3002040,Windows | Windows 10 | edge 15.0 | 1366x768
3002048, |  | chrome 62.0 | 
3002050,Windows | Windows 10 | chrome 62.0 | 1366x768
3002056,Windows | Windows 8.1 | chrome 62.0 | 1920x1080
3002069,SAMSUNG | Android 7.0 | samsung browser 6.2 | 1920x1080
3002070, |  | mobile safari 10.0 | 
3002077,Windows |  | chrome 62.0 | 
3002080,Windows | Windows 7 | chrome 62.0 | 1680x1050
3002085,Windows | Windows 10 | chrome 62.0 | 1366x768
3002087, |  | mobile safari generic | 
3002092,SM-N920G Build/NRD90M |  | chrome 62.0 for android | 
3002094,Windows | Windows 10 | chrome 62.0 | 1920x1080
3002095,MacOS | Mac OS X 10_11_6 | safari generic | 2560x1600
3002099,SAMSUNG SM-G950U1 Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2220x1080
3002110, | Android | chrome 62.0 | 1920x1080
3002114,MacOS | Mac OS X 10_11_6 | safari generic | 1280x800
3002118,Windows | Windows 10 | chrome 62.0 | 1680x1050
3002120,Windows |  | chrome 62.0 | 
3002122,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1334x750
3002138,Windows | Windows 10 | chrome 62.0 | 1366x768
3002140,LG-H500 Build/LRX21Y |  | chrome 59.0 for android | 
3002144,Aquaris |  | chrome 61.0 for android | 
3002145,BLADE A602 Build/MRA58K |  | chrome 62.0 for android | 
3002147,MacOS | Mac OS X 10_11_6 | safari generic | 1280x800
3002149,Windows |  | chrome 62.0 | 
3002161,Windows |  | chrome 62.0 | 
3002169,Windows | Windows 10 | edge 15.0 | 
3002179,XT1635-02 Build/NPN26.118-22-2 |  | chrome 62.0 for android | 
3002187,Windows |  | chrome 62.0 | 
3002189,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750
3002190,MacOS | Mac OS X 10_11_6 | chrome 62.0 | 2880x1800
3002193,MacOS | Mac OS X 10_13_1 | safari generic | 2560x1600
3002198,MacOS | Mac OS X 10_12_6 | chrome 61.0 | 5120x2880
3002202,MacOS | Mac OS X 10_11_6 | chrome 62.0 | 1920x1080
3002203,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 2880x1800
3002204,Windows |  | chrome 62.0 | 
3002205,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 1334x750
3002207,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 2880x1800
3002210,MacOS | Mac OS X 10_12_6 | safari generic | 1440x900
3002217,MacOS | Mac OS X 10_13_1 | safari generic | 2560x1600
3002220,Windows | Windows 10 | edge 16.0 | 1920x1200
3002221,Windows | Windows 10 | chrome 62.0 | 1024x768
3002222,MacOS | Mac OS X 10_11_6 | chrome 62.0 | 2880x1800
3002229,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750
3002234, |  | firefox 57.0 | 
3002242,MacOS | Mac OS X 10_12_6 | safari generic | 1440x900
3002249,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2001x1125
3002261,Windows | Windows 10 | chrome 62.0 | 1920x1080
3002267, |  | firefox 56.0 | 
3002278,SM-N920V Build/NRD90M | Android 7.0 | chrome 62.0 for android | 
3002280, |  | mobile safari 11.0 | 
3002282,HUAWEI TAG-L13 Build/HUAWEITAG-L13 |  | chrome 62.0 for android | 
