device_id,device_info,device_type,os,browser,screen,match_status,is_new,is_proxy
SAMSUNG SM-G892A Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2220x1080,SAMSUNG SM-G892A Build/NRD90M,mobile,Android 7.0,samsung browser 6.2,2220x1080,match_status:2,New,
Windows | Windows 8.1 | chrome 62.0 | 1366x768,Windows,desktop,Windows 8.1,chrome 62.0,1366x768,match_status:2,New,
LT22i Build/6.2.A.1.100 |  | chrome 62.0 for android | ,LT22i Build/6.2.A.1.100,mobile,,chrome 62.0 for android,,,New,
MacOS | Mac OS X 10_11_6 | safari generic | 1440x900,MacOS,desktop,Mac OS X 10_11_6,safari generic,1440x900,match_status:2,Found,
rv:52.0 | Windows 10 | firefox | 1440x900,rv:52.0,desktop,Windows 10,firefox,1440x900,match_status:2,New,
MacOS | Mac OS X 10_13_1 | safari generic | 1366x768,MacOS,desktop,Mac OS X 10_13_1,safari generic,1366x768,match_status:2,New,
SM-G950U Build/NRD90M |  | chrome 60.0 for android | ,SM-G950U Build/NRD90M,mobile,,chrome 60.0 for android,,,Found,
LG-H872 Build/NRD90U | Android 7.0 | chrome 62.0 for android | 2672x1440,LG-H872 Build/NRD90U,mobile,Android 7.0,chrome 62.0 for android,2672x1440,match_status:2,New,
MacOS | Mac | safari generic | 1440x900,MacOS,desktop,Mac,safari generic,1440x900,match_status:2,New,
MacOS | Mac OS X 10_9_5 | safari generic | 1280x800,MacOS,desktop,Mac OS X 10_9_5,safari generic,1280x800,match_status:2,Found,
LG-K500 Build/MMB29M |  | chrome 62.0 for android | ,LG-K500 Build/MMB29M,mobile,,chrome 62.0 for android,,,New,
iOS Device | iOS 10.3.3 | mobile safari 10.0 | 2208x1242,iOS Device,mobile,iOS 10.3.3,mobile safari 10.0,2208x1242,match_status:1,New,
iOS Device | iOS 10.3.3 | mobile safari 10.0 | 2048x1536,iOS Device,mobile,iOS 10.3.3,mobile safari 10.0,2048x1536,match_status:1,New,
Windows | Windows 10 | edge 14.0 | ,Windows,desktop,Windows 10,edge 14.0,,match_status:2,Found,
 |  | mobile safari generic | ,,mobile,,mobile safari generic,,,New,
SM-P550 Build/MMB29M |  | chrome 62.0 for android | ,SM-P550 Build/MMB29M,mobile,,chrome 62.0 for android,,,New,
Windows | Windows 10 | edge 15.0 | 1920x1080,Windows,desktop,Windows 10,edge 15.0,1920x1080,match_status:0,New,
Windows | Windows 10 | edge 14.0 | 1280x1024,Windows,desktop,Windows 10,edge 14.0,1280x1024,match_status:2,Found,
SM-J700M Build/MMB29K |  | chrome 61.0 for android | ,SM-J700M Build/MMB29K,mobile,,chrome 61.0 for android,,,Found,
Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1920x1080,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1920x1080,match_status:2,Found,
rv:57.0 | Mac OS X 10.12 | firefox 57.0 | 1440x900,rv:57.0,desktop,Mac OS X 10.12,firefox 57.0,1440x900,match_status:2,Found,
SM-G950U Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2220x1080,SM-G950U Build/NRD90M,mobile,Android 7.0,chrome 62.0 for android,2220x1080,match_status:2,Found,
SAMSUNG SM-G930T Build/NRD90M | Android 7.0 | samsung browser 6.2 | 1920x1080,SAMSUNG SM-G930T Build/NRD90M,mobile,Android 7.0,samsung browser 6.2,1920x1080,match_status:2,New,
iOS Device | iOS 11.1.2 | chrome 62.0 for ios | 2048x1536,iOS Device,mobile,iOS 11.1.2,chrome 62.0 for ios,2048x1536,match_status:2,New,
MacOS | Mac OS X 10_10_5 | safari generic | 1280x800,MacOS,desktop,Mac OS X 10_10_5,safari generic,1280x800,match_status:2,New,
Blade V6 Plus Build/MRA58K |  | chrome 62.0 for android | ,Blade V6 Plus Build/MRA58K,mobile,,chrome 62.0 for android,,,New,
MacOS | Mac OS X 10_11_5 | safari generic | 1280x800,MacOS,desktop,Mac OS X 10_11_5,safari generic,1280x800,match_status:2,Found,
Trident/7.0 | Windows 10 | ie 11.0 for tablet | 1366x768,Trident/7.0,desktop,Windows 10,ie 11.0 for tablet,1366x768,match_status:2,Found,
BLL-L23 Build/HUAWEIBLL-L23 |  | chrome 62.0 for android | ,BLL-L23 Build/HUAWEIBLL-L23,mobile,,chrome 62.0 for android,,,New,
iOS Device | iOS 9.3.5 | mobile safari 9.0 | 2048x1536,iOS Device,mobile,iOS 9.3.5,mobile safari 9.0,2048x1536,match_status:1,New,
KYOCERA-C6742A Build/LMY47V | Android 5.1.1 | chrome generic | 960x540,KYOCERA-C6742A Build/LMY47V,mobile,Android 5.1.1,chrome generic,960x540,,New,
MacOS | Mac OS X 10_10_5 | safari generic | 1440x900,MacOS,desktop,Mac OS X 10_10_5,safari generic,1440x900,match_status:2,New,
Windows | Windows 10 | firefox 57.0 | 1366x768,Windows,desktop,Windows 10,firefox 57.0,1366x768,match_status:2,New,
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2732x2048,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,2732x2048,match_status:1,New,
F3113 Build/33.2.A.4.70 |  | chrome 62.0 for android | ,F3113 Build/33.2.A.4.70,mobile,,chrome 62.0 for android,,,Found,
Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1600x900,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1600x900,match_status:2,Found,
 |  | mobile safari 10.0 | ,,mobile,,mobile safari 10.0,,,Unknown,
iOS Device | iOS 11.1.2 | mobile safari generic | 2436x1125,iOS Device,mobile,iOS 11.1.2,mobile safari generic,2436x1125,match_status:2,Found,
iOS Device | iOS 11.1.2 | mobile safari generic | 1334x750,iOS Device,mobile,iOS 11.1.2,mobile safari generic,1334x750,match_status:2,New,
D5306 Build/19.4.A.0.182 |  | chrome 62.0 for android | ,D5306 Build/19.4.A.0.182,mobile,,chrome 62.0 for android,,,Found,
Windows | Windows 7 | chrome 62.0 | 1920x1080,Windows,desktop,Windows 7,chrome 62.0,1920x1080,match_status:2,New,
Windows | Windows 10 | edge 15.0 | 1366x768,Windows,desktop,Windows 10,edge 15.0,1366x768,match_status:2,New,
Windows | Windows 10 | chrome 62.0 | 1920x1200,Windows,desktop,Windows 10,chrome 62.0,1920x1200,match_status:2,Found,
Trident/7.0 |  | ie 11.0 for desktop | ,Trident/7.0,desktop,,ie 11.0 for desktop,,,New,
 |  | chrome 61.0 | ,,desktop,,chrome 61.0,,,New,
M4 SS4457 Build/MRA58K |  | chrome 62.0 for android | ,M4 SS4457 Build/MRA58K,mobile,,chrome 62.0 for android,,,New,
SM-G955U Build/NRD90M | Android 7.0 | chrome 62.0 for android | ,SM-G955U Build/NRD90M,mobile,Android 7.0,chrome 62.0 for android,,match_status:2,Found,
SM-G610M Build/MMB29K |  | other | ,SM-G610M Build/MMB29K,mobile,,other,,,New,
Windows | Windows 7 | chrome 62.0 | ,Windows,desktop,Windows 7,chrome 62.0,,match_status:2,Found,
SAMSUNG SM-G935F Build/NRD90M |  | samsung browser 6.2 | ,SAMSUNG SM-G935F Build/NRD90M,mobile,,samsung browser 6.2,,,Found,
Windows |  | chrome 61.0 | ,Windows,desktop,,chrome 61.0,,,New,
 |  | firefox 57.0 | ,,desktop,,firefox 57.0,,,Found,
MacOS | Mac OS X 10_13_1 | chrome 62.0 | 2560x1600,MacOS,desktop,Mac OS X 10_13_1,chrome 62.0,2560x1600,match_status:2,New,
SM-G610M Build/MMB29K |  | chrome 59.0 for android | ,SM-G610M Build/MMB29K,mobile,,chrome 59.0 for android,,,Found,
XT1635-01 | Android 7.1.1 | chrome 62.0 for android | 1920x1080,XT1635-01,mobile,Android 7.1.1,chrome 62.0 for android,1920x1080,match_status:2,Found,
MacOS | Mac OS X 10_13_1 | safari generic | 2048x1152,MacOS,desktop,Mac OS X 10_13_1,safari generic,2048x1152,match_status:2,Found,
rv:56.0 |  | firefox 56.0 | ,rv:56.0,desktop,,firefox 56.0,,,Found,
SM-G950U Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2960x1440,SM-G950U Build/NRD90M,mobile,Android 7.0,chrome 62.0 for android,2960x1440,match_status:2,Found,
MacOS | Mac OS X 10_10_5 | safari generic | 2560x1600,MacOS,desktop,Mac OS X 10_10_5,safari generic,2560x1600,match_status:2,Found,
VS500 | Android 7.0 | android webview 4.0 | 1280x720,VS500,mobile,Android 7.0,android webview 4.0,1280x720,match_status:2,New,
CAM-L03 Build/HUAWEICAM-L03 |  | chrome 62.0 for android | ,CAM-L03 Build/HUAWEICAM-L03,mobile,,chrome 62.0 for android,,,New,
RCT6303W87M7 Build/MRA58K | Android 6.0 | chrome 62.0 for android | 1280x800,RCT6303W87M7 Build/MRA58K,mobile,Android 6.0,chrome 62.0 for android,1280x800,match_status:2,Unknown,
M4 SS4451 Build/LMY47D |  | chrome | ,M4 SS4451 Build/LMY47D,mobile,,chrome,,,New,
KFFOWI Build/LVY48F | Android 5.1.1 | chrome generic | 1024x600,KFFOWI Build/LVY48F,mobile,Android 5.1.1,chrome generic,1024x600,match_status:2,New,
iOS Device | iOS 10.3.1 | mobile safari 10.0 | 2732x2048,iOS Device,mobile,iOS 10.3.1,mobile safari 10.0,2732x2048,match_status:1,New,
rv:56.0 | Mac OS X 10.9 | firefox 56.0 | 1440x900,rv:56.0,desktop,Mac OS X 10.9,firefox 56.0,1440x900,match_status:2,New,
Moto E (4) Build/NMA26.42-19 |  | chrome generic | ,Moto E (4) Build/NMA26.42-19,mobile,,chrome generic,,,New,
SAMSUNG |  | samsung browser 6.2 | ,SAMSUNG,mobile,,samsung browser 6.2,,,New,
E2306 Build/26.3.A.1.33 |  | chrome 62.0 for android | ,E2306 Build/26.3.A.1.33,mobile,,chrome 62.0 for android,,,New,
 |  | mobile safari 9.0 | ,,mobile,,mobile safari 9.0,,,Unknown,
Windows |  | chrome 55.0 | ,Windows,desktop,,chrome 55.0,,,Found,
MacOS | Mac OS X 10_11_6 | safari generic | 2880x1800,MacOS,desktop,Mac OS X 10_11_6,safari generic,2880x1800,match_status:1,New,
Ilium L910 Build/MRA58K |  | chrome 62.0 for android | ,Ilium L910 Build/MRA58K,mobile,,chrome 62.0 for android,,,New,
Windows | Windows 7 | chrome 61.0 | 1920x1080,Windows,desktop,Windows 7,chrome 61.0,1920x1080,match_status:0,New,
SM-J700M Build/MMB29K |  | chrome 62.0 for android | ,SM-J700M Build/MMB29K,mobile,,chrome 62.0 for android,,,New,
GT-I9300 |  | chrome 62.0 for android | ,GT-I9300,mobile,,chrome 62.0 for android,,,New,
iOS Device | iOS 11.1.2 | mobile safari generic | 2001x1125,iOS Device,mobile,iOS 11.1.2,mobile safari generic,2001x1125,match_status:2,New,
LG-H420 Build/LRX21Y |  | other | ,LG-H420 Build/LRX21Y,mobile,,other,,,New,
Windows | Windows 8.1 | firefox 57.0 | 1024x768,Windows,desktop,Windows 8.1,firefox 57.0,1024x768,match_status:2,Found,
 |  | opera 49.0 | ,,desktop,,opera 49.0,,,New,
Windows NT 6.2 |  | ie | ,Windows NT 6.2,desktop,,ie,,,New,
XT1032 Build/LPBS23.13-56-2 |  | chrome 55.0 for android | ,XT1032 Build/LPBS23.13-56-2,mobile,,chrome 55.0 for android,,,Found,
GT-I9060M Build/KTU84P |  | chrome 62.0 for android | ,GT-I9060M Build/KTU84P,mobile,,chrome 62.0 for android,,,New,
Windows |  | edge 15.0 | ,Windows,desktop,,edge 15.0,,,New,
rv:38.0 |  | firefox | ,rv:38.0,desktop,,firefox,,,New,
Moto G (4) Build/NPJS25.93-14-10 |  | chrome generic | ,Moto G (4) Build/NPJS25.93-14-10,mobile,,chrome generic,,,New,
iOS Device | iOS 11.0.3 | mobile safari 11.0 | 1136x640,iOS Device,mobile,iOS 11.0.3,mobile safari 11.0,1136x640,match_status:1,New,
iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1136x640,iOS Device,mobile,iOS 10.3.3,mobile safari 10.0,1136x640,match_status:1,New,
Windows | Windows 7 | chrome 62.0 | 1280x1024,Windows,desktop,Windows 7,chrome 62.0,1280x1024,match_status:2,Found,
SM-G530T | Android 5.1.1 | chrome 62.0 for android | 960x540,SM-G530T,mobile,Android 5.1.1,chrome 62.0 for android,960x540,match_status:2,Found,
LGMP260 Build/NRD90U | Android 7.0 | chrome 61.0 for android | 1280x720,LGMP260 Build/NRD90U,mobile,Android 7.0,chrome 61.0 for android,1280x720,match_status:2,Found,
SM-E500M Build/KTU84P |  | chrome 62.0 for android | ,SM-E500M Build/KTU84P,mobile,,chrome 62.0 for android,,,Found,
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2436x1125,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,2436x1125,match_status:1,New,
SAMSUNG SM-G950U Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2220x1080,SAMSUNG SM-G950U Build/NRD90M,mobile,Android 7.0,samsung browser 6.2,2220x1080,match_status:2,Found,
Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1280x1024,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1280x1024,match_status:2,New,
iOS Device | iOS 11.1.1 | mobile safari 11.0 | 2208x1242,iOS Device,mobile,iOS 11.1.1,mobile safari 11.0,2208x1242,match_status:1,New,
Windows | Windows 10 | chrome 62.0 | ,Windows,desktop,Windows 10,chrome 62.0,,match_status:2,Found,
rv:11.0 | Windows 7 | ie 11.0 for desktop | 1600x900,rv:11.0,desktop,Windows 7,ie 11.0 for desktop,1600x900,match_status:2,New,
MacOS | Mac OS X 10_12_6 | chrome 61.0 | 1440x900,MacOS,desktop,Mac OS X 10_12_6,chrome 61.0,1440x900,match_status:2,Found,
Windows | Windows 7 | chrome 62.0 | 1920x1200,Windows,desktop,Windows 7,chrome 62.0,1920x1200,,New,IP_PROXY:ANONYMOUS
iOS Device | iOS 11.1.1 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.1.1,mobile safari 11.0,1334x750,match_status:1,Found,
 | Android | chrome 61.0 | 855x480,,mobile,Android,chrome 61.0,855x480,match_status:2,New,
Trident/7.0 | Windows 7 | ie 11.0 for desktop | ,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,,match_status:2,Found,
Windows | Windows 7 | chrome 62.0 | 1600x900,Windows,desktop,Windows 7,chrome 62.0,1600x900,match_status:2,New,
MacOS | Mac OS X 10_10_5 | chrome 62.0 | 1920x1080,MacOS,desktop,Mac OS X 10_10_5,chrome 62.0,1920x1080,match_status:2,Found,
rv:57.0 | Mac OS X 10.9 | firefox 57.0 | 1440x900,rv:57.0,desktop,Mac OS X 10.9,firefox 57.0,1440x900,match_status:2,Found,
MacOS | Mac OS X 10_12_6 | safari generic | 2560x1600,MacOS,desktop,Mac OS X 10_12_6,safari generic,2560x1600,match_status:2,New,
MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1920x1080,MacOS,desktop,Mac OS X 10_12_6,chrome 62.0,1920x1080,match_status:2,New,
SM-G920I Build/NRD90M |  | chrome 62.0 for android | ,SM-G920I Build/NRD90M,mobile,,chrome 62.0 for android,,,New,
Windows | Windows Vista | chrome 49.0 | 1366x768,Windows,desktop,Windows Vista,chrome 49.0,1366x768,match_status:2,Found,
Windows | Windows 8.1 | chrome 62.0 | 1600x900,Windows,desktop,Windows 8.1,chrome 62.0,1600x900,match_status:2,New,
MacOS | Mac OS X 10_13_1 | safari generic | 4096x2304,MacOS,desktop,Mac OS X 10_13_1,safari generic,4096x2304,match_status:2,New,
Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1366x768,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1366x768,match_status:2,Found,
Windows | Windows 7 | chrome 62.0 | 1024x768,Windows,desktop,Windows 7,chrome 62.0,1024x768,match_status:2,New,
Trident/7.0 | Windows 10 | ie 11.0 for desktop | ,Trident/7.0,desktop,Windows 10,ie 11.0 for desktop,,match_status:2,Found,
iOS Device | iOS 11.1.1 | mobile safari 11.0 | 2048x1536,iOS Device,mobile,iOS 11.1.1,mobile safari 11.0,2048x1536,match_status:1,New,
rv:11.0 |  | ie 11.0 for desktop | ,rv:11.0,desktop,,ie 11.0 for desktop,,,New,
Windows | Windows Vista | chrome 49.0 | 1280x800,Windows,desktop,Windows Vista,chrome 49.0,1280x800,match_status:2,Found,
iOS Device | iOS 11.0.3 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.0.3,mobile safari 11.0,1334x750,match_status:1,New,
Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1440x900,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1440x900,match_status:2,Found,IP_PROXY:TRANSPARENT
iOS Device | iOS 10.3.2 | mobile safari 10.0 | 2208x1242,iOS Device,mobile,iOS 10.3.2,mobile safari 10.0,2208x1242,match_status:1,New,
Windows | Windows 10 | chrome 62.0 | 1600x900,Windows,desktop,Windows 10,chrome 62.0,1600x900,match_status:2,New,
Windows | Windows 7 | chrome 62.0 | 1440x900,Windows,desktop,Windows 7,chrome 62.0,1440x900,match_status:2,Found,
MacOS | Mac OS X 10_11_6 | chrome 62.0 | 1920x1080,MacOS,desktop,Mac OS X 10_11_6,chrome 62.0,1920x1080,match_status:2,Found,
Windows | Windows 10 | chrome 62.0 | 1280x1024,Windows,desktop,Windows 10,chrome 62.0,1280x1024,match_status:2,New,
Windows | Windows Vista | ie | 1366x768,Windows,desktop,Windows Vista,ie,1366x768,match_status:2,New,
Windows | Windows 7 | ie 11.0 for desktop | 1920x1080,Windows,desktop,Windows 7,ie 11.0 for desktop,1920x1080,match_status:2,New,
Windows | Windows 7 | firefox 57.0 | 1440x900,Windows,desktop,Windows 7,firefox 57.0,1440x900,match_status:2,New,
iOS Device | iOS 10.3.1 | mobile safari 10.0 | 2001x1125,iOS Device,mobile,iOS 10.3.1,mobile safari 10.0,2001x1125,match_status:1,New,
 |  | chrome 49.0 | ,,desktop,,chrome 49.0,,,New,
MacOS | Mac OS X 10_13_1 | safari generic | 2560x1440,MacOS,desktop,Mac OS X 10_13_1,safari generic,2560x1440,match_status:2,New,
Windows | Windows 10 | edge 16.0 | ,Windows,desktop,Windows 10,edge 16.0,,match_status:2,Found,
Windows | Windows 7 | chrome 62.0 | 1280x800,Windows,desktop,Windows 7,chrome 62.0,1280x800,match_status:2,New,
MacOS | Mac OS X 10_11_6 | chrome 61.0 | 2560x1600,MacOS,desktop,Mac OS X 10_11_6,chrome 61.0,2560x1600,match_status:2,Found,
iOS Device | iOS 11.0.2 | mobile safari 11.0 | 2732x2048,iOS Device,mobile,iOS 11.0.2,mobile safari 11.0,2732x2048,match_status:1,New,
Windows |  | edge 14.0 | ,Windows,desktop,,edge 14.0,,,Found,
Windows | Windows 7 | chrome 62.0 | 1680x1050,Windows,desktop,Windows 7,chrome 62.0,1680x1050,match_status:2,Found,
Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1920x1080,Trident/7.0,desktop,Windows 10,ie 11.0 for desktop,1920x1080,match_status:2,Found,
Windows | Windows 10 | edge 15.0 | 1600x900,Windows,desktop,Windows 10,edge 15.0,1600x900,match_status:2,Found,
rv:57.0 | Mac OS X 10.11 | firefox 57.0 | 1920x1080,rv:57.0,desktop,Mac OS X 10.11,firefox 57.0,1920x1080,match_status:2,New,
Windows | Windows 10 | firefox 57.0 | 1920x1080,Windows,desktop,Windows 10,firefox 57.0,1920x1080,match_status:2,Found,
Windows | Windows 10 | firefox 57.0 | 1600x900,Windows,desktop,Windows 10,firefox 57.0,1600x900,match_status:2,New,
SAMSUNG SM-J327T Build/NRD90M | Android 7.0 | samsung browser 6.2 | 1280x720,SAMSUNG SM-J327T Build/NRD90M,mobile,Android 7.0,samsung browser 6.2,1280x720,match_status:2,Found,
Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1680x1050,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1680x1050,match_status:2,New,
rv:52.0 | Windows Vista | firefox 52.0 | 1280x800,rv:52.0,desktop,Windows Vista,firefox 52.0,1280x800,match_status:2,New,
MacOS | Mac OS X 10_10_5 | chrome 61.0 | 1920x1080,MacOS,desktop,Mac OS X 10_10_5,chrome 61.0,1920x1080,match_status:2,Found,
SM-G900H Build/MMB29K |  | chrome 60.0 for android | ,SM-G900H Build/MMB29K,mobile,,chrome 60.0 for android,,,New,
TRT-L53 Build/HUAWEITRT-L53 |  | chrome 62.0 for android | ,TRT-L53 Build/HUAWEITRT-L53,mobile,,chrome 62.0 for android,,,New,
rv:11.0 | Windows 10 | ie 11.0 for desktop | 1920x1080,rv:11.0,desktop,Windows 10,ie 11.0 for desktop,1920x1080,match_status:2,New,
Android 6.0.1 |  | android webview 4.0 | ,Android 6.0.1,mobile,,android webview 4.0,,,New,
MacOS | Mac OS X 10_12_6 | safari generic | 1440x900,MacOS,desktop,Mac OS X 10_12_6,safari generic,1440x900,match_status:2,New,
 |  | chrome | ,,desktop,,chrome,,,New,
MacOS | Mac OS X 10_9_5 | safari generic | 2880x1800,MacOS,desktop,Mac OS X 10_9_5,safari generic,2880x1800,match_status:2,Found,
Windows | Windows 10 | edge 14.0 | 2160x1440,Windows,desktop,Windows 10,edge 14.0,2160x1440,match_status:2,Found,
Moto G Play Build/MPIS24.241-15.3-26 |  | chrome 62.0 for android | ,Moto G Play Build/MPIS24.241-15.3-26,mobile,,chrome 62.0 for android,,,New,
Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1280x1024,Trident/7.0,desktop,Windows 10,ie 11.0 for desktop,1280x1024,match_status:2,Found,
iOS Device | iOS 10.3.3 | chrome 62.0 for ios | 2048x1536,iOS Device,mobile,iOS 10.3.3,chrome 62.0 for ios,2048x1536,match_status:2,Found,
MacOS | Mac | safari generic | 1366x768,MacOS,desktop,Mac,safari generic,1366x768,match_status:2,Found,
Nexus 6P Build/OPR5.170623.011 | Android 8.0.0 |  | 2562x1442,Nexus 6P Build/OPR5.170623.011,mobile,Android 8.0.0,,2562x1442,match_status:2,New,
