card_id,customer_id,card_type
C01799-K2,C01799,visa credit
C01801-K1,C01801,mastercard credit
C01810-K1,C01810,visa debit
C01812-K1,C01812,visa credit
C01823-K1,C01823,mastercard credit
C01828-K2,C01828,visa debit
C01846-K1,C01846,visa credit
C01855-K2,C01855,mastercard credit
C01856-K1,C01856,visa credit
C01864-K1,C01864,mastercard credit
C01875-K1,C01875,visa debit
C01881-K1,C01881,visa debit
C01887-K1,C01887,visa credit
C01890-K1,C01890,visa credit
C01909-K2,C01909,visa debit
C01910-K1,C01910,mastercard debit
C01922-K2,C01922,visa debit
C01924-K1,C01924,mastercard credit
C01933-K2,C01933,mastercard credit
C01934-K1,C01934,mastercard debit
C01935-K1,C01935,mastercard credit
C01953-K2,C01953,visa debit
C01954-K1,C01954,mastercard debit
C01961-K1,C01961,american express credit
C01966-K1,C01966,visa credit
C01977-K1,C01977,mastercard debit
C01981-K1,C01981,mastercard debit
C01982-K2,C01982,visa credit
C01983-K1,C01983,visa credit
C01984-K1,C01984,mastercard credit
C01987-K1,C01987,american express credit
C01996-K2,C01996,visa debit
C02000-K1,C02000,nan nan
C02000-K2,C02000,mastercard debit
C02008-K1,C02008,visa debit
C02018-K2,C02018,visa debit
C02023-K1,C02023,visa credit
C02031-K1,C02031,mastercard credit
C02035-K1,C02035,visa credit
C02055-K1,C02055,american express credit
C02063-K1,C02063,visa debit
C02065-K1,C02065,visa debit
C02079-K1,C02079,visa credit
C02082-K1,C02082,visa credit
C02084-K2,C02084,mastercard debit
C02089-K1,C02089,american express credit
C02094-K1,C02094,visa credit
C02111-K1,C02111,visa credit
C02116-K1,C02116,visa credit
C02121-K1,C02121,american express credit
C02131-K1,C02131,american express credit
C02136-K1,C02136,american express credit
C02139-K1,C02139,american express credit
C02147-K2,C02147,mastercard credit
C02170-K1,C02170,visa credit
C02171-K1,C02171,visa debit
C02177-K1,C02177,visa debit
C02180-K1,C02180,visa credit
C02181-K2,C02181,visa credit
C02182-K1,C02182,mastercard debit
C02188-K1,C02188,american express credit
C02193-K1,C02193,visa debit
C02195-K1,C02195,visa credit
C02205-K1,C02205,mastercard debit
C02214-K2,C02214,visa debit
C02222-K1,C02222,visa credit
C02226-K1,C02226,visa debit
C02231-K1,C02231,discover credit
C02231-K2,C02231,discover debit
C02245-K2,C02245,visa debit
C02250-K2,C02250,mastercard credit
C02263-K1,C02263,american express credit
C02266-K1,C02266,nan nan
C02266-K2,C02266,visa debit
C02279-K1,C02279,mastercard credit
C02284-K1,C02284,mastercard debit
C02285-K2,C02285,visa debit
C02309-K2,C02309,visa debit
C02320-K2,C02320,visa debit
C02321-K2,C02321,visa debit
C02326-K1,C02326,mastercard debit
C02330-K1,C02330,visa debit
C02332-K1,C02332,visa credit
C02334-K1,C02334,american express credit
C02341-K1,C02341,visa debit
C02342-K1,C02342,visa debit
C02354-K2,C02354,visa debit
C02371-K2,C02371,mastercard debit
C02377-K1,C02377,mastercard credit
C02387-K1,C02387,mastercard debit
C02393-K2,C02393,visa debit
C02404-K1,C02404,mastercard debit
C02436-K1,C02436,visa debit
C02444-K1,C02444,american express credit
C02445-K1,C02445,mastercard credit
C02456-K1,C02456,mastercard credit
C02458-K1,C02458,mastercard debit
C02466-K1,C02466,visa debit
C02472-K1,C02472,american express credit
C02475-K1,C02475,mastercard credit
C02477-K1,C02477,mastercard credit
C02480-K1,C02480,visa credit
C02487-K1,C02487,visa debit
C02502-K2,C02502,mastercard debit
C02513-K1,C02513,mastercard debit
C02515-K2,C02515,visa debit
C02536-K1,C02536,visa credit
C02545-K2,C02545,mastercard credit
C02554-K1,C02554,american express credit
C02559-K1,C02559,visa debit
C02566-K1,C02566,american express debit
C02573-K2,C02573,visa debit
C02575-K1,C02575,nan nan
C02575-K2,C02575,mastercard debit
C02589-K1,C02589,visa credit
C02592-K1,C02592,visa credit
C02609-K1,C02609,visa debit
C02618-K2,C02618,visa credit
C02627-K1,C02627,mastercard credit
C02639-K1,C02639,visa credit
C02646-K1,C02646,visa credit
C02653-K1,C02653,visa debit
C02656-K1,C02656,visa debit
C02667-K1,C02667,visa credit
C02686-K1,C02686,american express credit
C02695-K1,C02695,american express credit
C02702-K2,C02702,visa credit
C02705-K1,C02705,visa debit
C02708-K1,C02708,mastercard debit
C02715-K1,C02715,visa credit
C02716-K1,C02716,nan nan
C02716-K2,C02716,visa credit
C02717-K1,C02717,american express credit
C02740-K1,C02740,visa debit
C02745-K1,C02745,visa debit
C02749-K1,C02749,mastercard debit
C02753-K1,C02753,visa credit
C02756-K1,C02756,visa debit
C02776-K1,C02776,mastercard credit
C02780-K2,C02780,visa debit
C02782-K2,C02782,visa debit
C02796-K1,C02796,mastercard debit
C02800-K1,C02800,visa credit
C02804-K1,C02804,american express credit
C02809-K2,C02809,mastercard debit
C02810-K1,C02810,visa debit
C02814-K1,C02814,visa debit
C02838-K1,C02838,visa debit
C02842-K1,C02842,visa debit
C02851-K2,C02851,visa credit
C02854-K1,C02854,mastercard debit
C02882-K1,C02882,visa debit
C02883-K2,C02883,mastercard debit
C02891-K1,C02891,mastercard debit
C02897-K1,C02897,visa debit
C02902-K2,C02902,visa debit
C02910-K1,C02910,mastercard debit
C02914-K2,C02914,mastercard credit
C02921-K1,C02921,mastercard debit
C02923-K1,C02923,visa credit
C02945-K1,C02945,visa debit
C02949-K1,C02949,visa debit
C02955-K1,C02955,visa debit
C02963-K1,C02963,mastercard credit
C02968-K1,C02968,mastercard debit
C02971-K1,C02971,american express credit
C02975-K1,C02975,visa credit
C02999-K2,C02999,visa debit
C03019-K2,C03019,discover credit
C03040-K2,C03040,visa credit
C03042-K1,C03042,mastercard credit
C03043-K1,C03043,american express credit
C03047-K2,C03047,visa debit
C03050-K1,C03050,american express credit
C03060-K1,C03060,visa debit
C03066-K1,C03066,visa credit
C03070-K1,C03070,american express debit
C03080-K2,C03080,mastercard debit
C03095-K2,C03095,mastercard credit
C03096-K1,C03096,american express credit
C03108-K1,C03108,mastercard debit
C03125-K2,C03125,mastercard debit
C03133-K1,C03133,visa credit
C03136-K1,C03136,visa debit
C03140-K1,C03140,visa debit
C03146-K1,C03146,american express credit
C03151-K2,C03151,mastercard debit
C03168-K1,C03168,visa debit
C03181-K1,C03181,visa debit
C03184-K1,C03184,mastercard debit
C03197-K1,C03197,mastercard credit
C03200-K1,C03200,visa debit
C03213-K1,C03213,american express credit
C03218-K2,C03218,visa debit
C03231-K2,C03231,visa credit
C03234-K1,C03234,visa debit
C03237-K1,C03237,american express credit
C03246-K1,C03246,visa credit
C03252-K1,C03252,american express credit
C03256-K1,C03256,visa credit
C03263-K1,C03263,american express credit
C03264-K1,C03264,visa credit
C03271-K1,C03271,american express credit
C03273-K1,C03273,visa debit
C03277-K1,C03277,visa credit
C03278-K2,C03278,mastercard credit
C03285-K2,C03285,visa debit
C03288-K1,C03288,mastercard credit
C03295-K2,C03295,mastercard debit
C03299-K2,C03299,visa debit
C03303-K1,C03303,american express credit
C03318-K1,C03318,visa debit
C03341-K2,C03341,mastercard debit
C03345-K2,C03345,visa debit
C03348-K1,C03348,visa credit
C03351-K2,C03351,mastercard credit
C03360-K1,C03360,visa credit
C03363-K2,C03363,mastercard debit
C03381-K1,C03381,visa credit
C03385-K1,C03385,visa credit
C03394-K2,C03394,mastercard debit
C03397-K1,C03397,visa credit
C03399-K1,C03399,visa credit
C03405-K2,C03405,visa debit
C03409-K1,C03409,visa debit
C03411-K2,C03411,visa debit
C03412-K1,C03412,visa credit
C03418-K1,C03418,visa debit
C03422-K1,C03422,visa debit
C03427-K2,C03427,mastercard debit
C03433-K1,C03433,visa debit
C03437-K1,C03437,mastercard debit
C03449-K1,C03449,american express credit
C03465-K1,C03465,american express credit
C03467-K1,C03467,american express credit
C03470-K1,C03470,mastercard debit
C03474-K1,C03474,visa credit
C03485-K1,C03485,visa debit
C03488-K2,C03488,mastercard credit
C03504-K1,C03504,american express credit
C03517-K1,C03517,visa debit
C03527-K1,C03527,visa credit
C03528-K1,C03528,mastercard debit
C03539-K1,C03539,mastercard credit
C03542-K1,C03542,visa debit
C03545-K1,C03545,american express credit
C03549-K1,C03549,visa debit
C03550-K1,C03550,visa debit
C03551-K2,C03551,
C03558-K1,C03558,mastercard debit
C03561-K1,C03561,visa debit
C03564-K1,C03564,mastercard credit
C03571-K1,C03571,american express credit
C03575-K2,C03575,visa debit
C03598-K2,C03598,visa debit
C03613-K1,C03613,american express credit
C03630-K1,C03630,american express credit
C03637-K1,C03637,visa credit
C03645-K1,C03645,mastercard credit
C03647-K1,C03647,american express credit
C03650-K1,C03650,visa credit
C03651-K2,C03651,mastercard debit
C03656-K2,C03656,mastercard debit
C03657-K1,C03657,visa debit
C03667-K1,C03667,mastercard debit
C03676-K2,C03676,visa debit
C03684-K1,C03684,american express debit
C03685-K2,C03685,visa debit
C03696-K1,C03696,visa debit
C03699-K1,C03699,visa credit
C03702-K1,C03702,visa debit
C03707-K1,C03707,mastercard credit
C03708-K2,C03708,mastercard credit
C03714-K1,C03714,mastercard debit
C03727-K1,C03727,visa debit
C03738-K2,C03738,visa debit
C03744-K1,C03744,
C03750-K1,C03750,visa debit
C03770-K1,C03770,mastercard debit
C03773-K1,C03773,mastercard credit
C03773-K2,C03773,mastercard debit
C03777-K1,C03777,visa debit
C03778-K1,C03778,mastercard credit
C03779-K1,C03779,visa credit
C03786-K1,C03786,visa debit
C03787-K1,C03787,visa debit
C03824-K1,C03824,visa credit
C03829-K1,C03829,mastercard credit
C03831-K1,C03831,visa debit
C03839-K1,C03839,mastercard debit
C03843-K1,C03843,american express credit
C03851-K2,C03851,mastercard debit
C03856-K1,C03856,mastercard credit
C03864-K1,C03864,visa debit
C03871-K1,C03871,american express credit
C03872-K1,C03872,mastercard credit
C03880-K1,C03880,visa debit
C03898-K1,C03898,visa debit
C03904-K1,C03904,visa credit
C03906-K1,C03906,visa credit
C03925-K1,C03925,visa credit
C03933-K1,C03933,visa debit
C03950-K1,C03950,mastercard credit
C03967-K1,C03967,mastercard debit
C03971-K1,C03971,mastercard credit
C03975-K1,C03975,american express credit
C03992-K2,C03992,visa credit
C03999-K1,C03999,mastercard credit
C04004-K1,C04004,mastercard credit
C04010-K1,C04010,american express credit
C04022-K1,C04022,visa credit
C04024-K2,C04024,visa credit
C04034-K2,C04034,mastercard credit
C04037-K1,C04037,visa credit
C04046-K2,C04046,visa debit
C04061-K1,C04061,mastercard debit
C04068-K1,C04068,visa debit
C04072-K2,C04072,mastercard debit
C04077-K1,C04077,american express credit
C04096-K2,C04096,visa debit
C04105-K2,C04105,visa debit
C04108-K2,C04108,mastercard credit
C04110-K1,C04110,mastercard credit
C04117-K2,C04117,mastercard debit
C04118-K2,C04118,mastercard debit
C04125-K1,C04125,nan nan
C04125-K2,C04125,visa debit
C04132-K1,C04132,visa credit
C04134-K1,C04134,mastercard credit
C04146-K1,C04146,visa debit
C04150-K1,C04150,american express credit
C04157-K1,C04157,american express credit
C04170-K1,C04170,american express credit
C04172-K1,C04172,nan nan
C04172-K2,C04172,visa credit
C04185-K2,C04185,mastercard debit
C04196-K2,C04196,visa credit
C04201-K1,C04201,visa debit
C04210-K1,C04210,mastercard debit
C04230-K1,C04230,visa credit
C04248-K2,C04248,mastercard credit
C04257-K1,C04257,visa credit
C04258-K1,C04258,mastercard credit
C04261-K1,C04261,visa debit
C04265-K1,C04265,american express credit
C04267-K1,C04267,visa debit
C04269-K1,C04269,mastercard debit
C04277-K1,C04277,american express credit
C04280-K1,C04280,mastercard credit
C04282-K1,C04282,visa debit
C04285-K1,C04285,visa debit
C04294-K1,C04294,visa debit
C04299-K1,C04299,visa credit
C04306-K1,C04306,visa debit
C04307-K1,C04307,american express credit
C04311-K1,C04311,visa credit
C04313-K1,C04313,visa credit
C04332-K1,C04332,visa credit
C04346-K2,C04346,visa debit
C04348-K1,C04348,mastercard credit
C04350-K1,C04350,american express credit
C04352-K1,C04352,mastercard credit
C04361-K1,C04361,nan nan
C04361-K2,C04361,visa debit
C04386-K1,C04386,visa debit
C04393-K1,C04393,visa debit
C04398-K1,C04398,visa credit
C04424-K1,C04424,american express credit
C04434-K1,C04434,visa debit
C04435-K1,C04435,american express credit
C04437-K1,C04437,visa credit
C04446-K1,C04446,mastercard credit
C04450-K1,C04450,mastercard debit
C04488-K1,C04488,american express credit
C04505-K1,C04505,mastercard credit
C04533-K1,C04533,mastercard credit
C04537-K1,C04537,mastercard credit
C04542-K1,C04542,visa credit
C04549-K1,C04549,visa debit
C04551-K1,C04551,visa debit
C04556-K1,C04556,visa credit
C04565-K1,C04565,mastercard debit
C04570-K1,C04570,mastercard credit
C04571-K2,C04571,visa debit
C04587-K1,C04587,visa debit
C04588-K1,C04588,visa credit
C04597-K1,C04597,nan nan
C04597-K2,C04597,mastercard debit
C04601-K2,C04601,mastercard debit
C04618-K1,C04618,visa credit
C04641-K1,C04641,mastercard debit
C04644-K1,C04644,american express credit
C04650-K1,C04650,american express credit
C04655-K1,C04655,visa debit
C04665-K1,C04665,visa credit
C04679-K1,C04679,visa debit
C04709-K2,C04709,mastercard debit
C04710-K1,C04710,american express credit
C04715-K1,C04715,visa credit
C04726-K1,C04726,visa debit
C04727-K2,C04727,mastercard debit
C04729-K1,C04729,visa credit
C04741-K1,C04741,american express credit
C04742-K1,C04742,visa debit
C04743-K1,C04743,visa credit
C04744-K1,C04744,visa credit
C04754-K1,C04754,american express credit
C04759-K1,C04759,american express credit
C04762-K1,C04762,visa debit
C04775-K1,C04775,visa credit
C04776-K1,C04776,visa credit
C04778-K1,C04778,visa credit
C04798-K2,C04798,visa debit
C04803-K1,C04803,visa debit
C04812-K1,C04812,visa credit
C04828-K2,C04828,mastercard debit
C04834-K1,C04834,mastercard debit
C04840-K1,C04840,mastercard credit
C04844-K1,C04844,mastercard credit
C04848-K1,C04848,american express credit
C04849-K1,C04849,mastercard debit
C04860-K1,C04860,visa credit
C04861-K2,C04861,mastercard credit
C04863-K1,C04863,american express credit
C04865-K1,C04865,mastercard credit
C04870-K1,C04870,visa debit
C04873-K1,C04873,mastercard credit
C04881-K1,C04881,visa credit
C04889-K1,C04889,mastercard debit
C04893-K1,C04893,visa debit
C04903-K1,C04903,visa debit
C04921-K2,C04921,mastercard credit
C04928-K1,C04928,american express credit
C04933-K1,C04933,mastercard credit
C04938-K1,C04938,american express credit
C04942-K1,C04942,visa credit
C04962-K2,C04962,mastercard debit
C04965-K2,C04965,visa debit
C04968-K1,C04968,american express credit
C04984-K2,C04984,mastercard debit
C05008-K1,C05008,visa debit
C05011-K1,C05011,visa debit
C05029-K1,C05029,visa debit
C05031-K2,C05031,visa debit
C05039-K1,C05039,american express credit
C05061-K1,C05061,visa credit
C05062-K2,C05062,visa debit
C05081-K1,C05081,visa credit
C05097-K2,C05097,visa debit
C05106-K1,C05106,american express credit
C05115-K2,C05115,visa credit
C05116-K1,C05116,mastercard debit
C05125-K1,C05125,mastercard debit
C05127-K1,C05127,visa credit
C05128-K1,C05128,visa debit
C05140-K1,C05140,visa debit
C05141-K1,C05141,american express credit
C05142-K1,C05142,visa debit
C05153-K1,C05153,mastercard credit
C05155-K1,C05155,visa debit
C05174-K1,C05174,american express credit
C05175-K1,C05175,mastercard credit
C05192-K2,C05192,visa debit
C05203-K1,C05203,visa credit
C05212-K2,C05212,visa debit
C05215-K1,C05215,mastercard debit
C05230-K1,C05230,mastercard credit
C05231-K1,C05231,visa debit
C05234-K1,C05234,american express credit
C05240-K1,C05240,visa debit
C05243-K1,C05243,visa debit
C05245-K2,C05245,visa debit
C05248-K1,C05248,mastercard debit
C05263-K2,C05263,visa debit
C05268-K1,C05268,mastercard debit
C05276-K2,C05276,visa debit
C05289-K2,C05289,mastercard credit
C05290-K2,C05290,visa debit
C05292-K1,C05292,visa credit
C05294-K1,C05294,mastercard credit
C05302-K1,C05302,mastercard credit
C05303-K1,C05303,mastercard credit
C05307-K2,C05307,visa debit
C05309-K1,C05309,visa credit
C05312-K1,C05312,visa debit
C05314-K1,C05314,visa debit
C05320-K1,C05320,visa debit
C05330-K1,C05330,nan nan
C05330-K2,C05330,visa debit
C05359-K1,C05359,visa debit
C05362-K1,C05362,mastercard credit
C05369-K1,C05369,mastercard debit
C05378-K2,C05378,mastercard debit
C05381-K2,C05381,mastercard debit
C05382-K1,C05382,visa credit
C05383-K1,C05383,mastercard debit
C05385-K2,C05385,visa debit
C05390-K1,C05390,mastercard debit
C05398-K1,C05398,visa debit
C05410-K1,C05410,mastercard debit
C05411-K1,C05411,mastercard credit
C05423-K1,C05423,visa credit
C05426-K1,C05426,visa debit
C05445-K1,C05445,visa debit
C05454-K1,C05454,mastercard credit
C05467-K1,C05467,visa debit
C05470-K1,C05470,visa credit
C05472-K1,C05472,american express credit
C05479-K1,C05479,american express credit
C05484-K1,C05484,visa debit
C05485-K1,C05485,mastercard credit
C05487-K1,C05487,american express credit
C05490-K1,C05490,visa credit
C05504-K1,C05504,visa debit
C05509-K1,C05509,visa credit
C05519-K2,C05519,visa debit
C05530-K2,C05530,visa debit
C05533-K1,C05533,american express credit
C05551-K2,C05551,visa debit
C05554-K1,C05554,american express credit
C05559-K1,C05559,american express credit
C05560-K2,C05560,visa credit
C05566-K1,C05566,visa debit
C05572-K1,C05572,visa debit
C05585-K1,C05585,visa debit
C05595-K1,C05595,mastercard credit
C05600-K1,C05600,american express credit
C05610-K1,C05610,visa debit
C05611-K1,C05611,visa credit
C05625-K2,C05625,visa debit
C05636-K2,C05636,visa debit
C05654-K1,C05654,visa debit
C05664-K1,C05664,visa credit
C05670-K1,C05670,visa debit
C05678-K1,C05678,visa credit
C05684-K1,C05684,mastercard credit
C05686-K1,C05686,visa debit
C05689-K2,C05689,mastercard debit
C05690-K1,C05690,mastercard credit
C05704-K2,C05704,visa credit
C05705-K1,C05705,visa debit
C05712-K1,C05712,visa credit
C05731-K1,C05731,visa debit
C05736-K1,C05736,mastercard credit
C05739-K2,C05739,visa debit
C05747-K1,C05747,mastercard credit
C05753-K1,C05753,mastercard credit
C05766-K1,C05766,mastercard debit
C05770-K1,C05770,visa debit
C05772-K1,C05772,visa debit
C05786-K2,C05786,visa debit
C05791-K2,C05791,visa debit
C05793-K1,C05793,visa credit
C05797-K1,C05797,american express credit
C05807-K1,C05807,american express credit
C05826-K1,C05826,mastercard credit
C05853-K1,C05853,american express credit
C05868-K1,C05868,american express credit
C05871-K1,C05871,mastercard credit
C05876-K2,C05876,visa debit
C05902-K1,C05902,mastercard credit
C05903-K1,C05903,visa debit
C05906-K1,C05906,american express credit
C05916-K1,C05916,visa credit
C05942-K1,C05942,mastercard credit
C05957-K2,C05957,visa debit
C05958-K1,C05958,mastercard credit
C05961-K1,C05961,visa debit
C05967-K1,C05967,mastercard debit
C05976-K1,C05976,visa credit
C05977-K1,C05977,mastercard credit
C05985-K2,C05985,mastercard credit
C05986-K2,C05986,mastercard debit
C05992-K1,C05992,american express credit
C05996-K1,C05996,mastercard credit
C06001-K1,C06001,mastercard credit
C06005-K1,C06005,american express credit
C06006-K1,C06006,discover credit
C06024-K1,C06024,visa debit
C06026-K2,C06026,visa credit
C06031-K2,C06031,mastercard debit
C06036-K1,C06036,visa debit
C06050-K1,C06050,visa debit
C06059-K2,C06059,visa debit
C06063-K1,C06063,visa credit
C06067-K2,C06067,mastercard debit
C06075-K1,C06075,american express credit
C06079-K1,C06079,american express credit
C06084-K2,C06084,mastercard debit
C06096-K1,C06096,american express credit
C06108-K1,C06108,mastercard debit
C06117-K1,C06117,mastercard debit
C06121-K2,C06121,visa debit
C06130-K1,C06130,visa credit
C06134-K1,C06134,mastercard debit
C06147-K2,C06147,visa debit
C06166-K1,C06166,american express credit
C06167-K1,C06167,visa debit
C06168-K1,C06168,visa debit
C06175-K1,C06175,visa debit
C06185-K1,C06185,visa debit
C06190-K1,C06190,visa credit
C06197-K2,C06197,
C06208-K1,C06208,mastercard credit
C06210-K1,C06210,mastercard credit
C06215-K1,C06215,visa debit
C06220-K1,C06220,visa credit
